Respondent ID,Collector ID,Start Date,End Date,IP Address,Custom Data 1,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",It will soon become fairly conventional for high school graduates to obtain alternative credentials instead of going to college.,"When you add up the pros and cons for online education, it's probably a good thing for society overall.","When you add up the pros and cons for artificial intelligence, it's probably a good thing for society overall.",Have you heard of any of the following online course providers?,,,,,Which of these industries most closely matches your profession?,Government regulation helps ensure businesses treat individuals more fairly.,Gender?,Household Income?,Age?,[Optional] Github Username,Age,Gender,Household Income,Region,Device Type
10566273827,226271827,3/2/2019 16:44,3/2/2019 16:46,174.72.8.222,,1,8,4,10,5,1,2,3,4,5,2,6,1,8,3,,,,,,
10561908032,226270653,2/28/2019 13:27,2/28/2019 13:29,50.195.74.145,,1,7,3,7,9,1,2,3,,5,4,2,2,10,3,,,,,,
10560220683,226270653,2/27/2019 21:42,2/27/2019 21:44,68.33.100.158,,2,5,2,8,5,1,2,3,,,2,5,2,11,2,,,,,,
10559914087,226270653,2/27/2019 18:20,2/27/2019 18:21,68.98.182.234,,1,7,7,8,10,1,2,3,,,4,2,2,4,3,,,,,,
10557533216,226271827,2/26/2019 21:19,2/26/2019 21:22,73.37.149.91,,2,8,5,7,9,1,,3,,5,10,10,2,5,2,,,,,,
10557422036,226271827,2/26/2019 20:11,2/26/2019 20:13,108.31.146.176,,1,5,1,5,10,1,2,3,,5,2,8,1,10,3,,,,,,
10556471061,226270653,2/26/2019 13:11,2/26/2019 13:12,72.210.26.225,,2,9,10,10,10,1,2,3,,5,6,4,2,4,3,,,,,,
10556299681,226271827,2/26/2019 12:10,2/26/2019 12:11,108.18.40.163,,1,6,6,9,6,1,2,3,,5,6,2,1,8,5,,,,,,
10554412696,226271827,2/25/2019 18:18,2/25/2019 18:20,73.200.35.8,,2,3,10,10,10,1,2,3,4,5,6,5,2,11,2,,,,,,
10554131926,226270653,2/25/2019 16:03,2/25/2019 16:12,47.221.137.150,,3,10,4,5,5,,,,,,5,5,1,5,5,,,,,,
10553709229,226271827,2/25/2019 13:27,2/25/2019 13:28,165.225.48.110,,2,4,7,5,1,1,2,3,,5,6,10,1,6,2,,,,,,
10553293320,226271827,2/25/2019 10:59,2/25/2019 11:01,69.137.39.151,,1,8,7,9,7,1,2,,,5,6,6,2,11,3,,,,,,
10553068161,226271827,2/25/2019 9:41,2/25/2019 9:42,73.132.92.14,,2,7,9,9,10,1,2,3,,,6,5,2,5,2,,,,,,
