Respondent ID,Collector ID,Start Date,End Date,IP Address,Custom Data 1,custom_value7,custom_value8,custom_value9,Do you contribute to hiring and firing decisions at your company?,How likely is it that you would recommend alternative education to a friend or colleague?,How likely is it that you would recommend a traditional bachelor's degree to a friend or colleague?,"For many professions, alternative credentials can qualify a person for an entry-level position.",Which of these industries most closely matches your profession?,Gender?,Household Income?,Age?,What is the highest level of education you have completed?,Which race/ethnicity best describes you? (Please choose only one.) ,Which of the following statements are true for you?,,,,,,,How many of the three articles contained information you were previously unaware of?,I completed this portion of the Codecademy Intro to HTML lesson,How likely is it that you would recommend alternative education to a friend or colleague?,How likely is it that you would recommend a traditional bachelor's degree to a friend or colleague?,"In 2 or more sentences, please explain your selection on ""How likely is it that you would recommend alternative education to a friend or colleague?"" Include why your score did or did not change after completing the exercises.","For many professions, alternative credentials can qualify a person for an entry-level position.",Age,Gender,Household Income,Region,Device Type
11135762611,249597484,11/11/2019 21:36,11/11/2019 21:37,,f73a60b61ec886492bc83c2f38,,,,2,5,6,7,2,2,4,2,4,5,1,,,,,,,100,1,6,4,All,6,2,1,3,3,1
11135745035,249597484,11/11/2019 21:26,11/11/2019 21:27,,095da3cb77383985eb6a705776,,,,1,5,4,5,5,2,5,3,8,2,,2,,4,,,,8,2,4,3,Fddd ,6,2,1,6,9,1
11135722378,249597484,11/11/2019 21:12,11/11/2019 21:14,,e4c40cba42e3f08cc9da47a208,,,,1,7,9,9,9,2,6,3,7,5,1,,,,,,,1,3,7,9,some people cant afford school,8,3,1,6,6,2
11135722348,249597484,11/11/2019 21:10,11/11/2019 21:14,,20c59cffd97c01b134f26b783e,,,,2,4,10,5,4,2,4,2,5,5,1,,,,,,7,100,1,5,10,"Alternative education is a good way to start, but I believe traditional education gives people more opportunities. I believe everyone should get the highest education they can, if possible.",5,2,1,2,8,1
11135702686,249597484,11/11/2019 21:00,11/11/2019 21:03,,2f94bc72503eb33a8aa5b5b0ba,,,,2,5,10,10,10,2,5,3,7,5,,2,,,,,,0,1,5,10,eh,5,3,1,5,8,2
11135674040,249597484,11/11/2019 20:45,11/11/2019 20:47,,97bb22114f1cc2fc93424257ea,,,,2,0,0,10,11,2,11,2,4,3,1,,,,,,7,0,1,0,0,I wouldn't. Because I wouldn't,10,2,1,11,7,2
11135662413,249597484,11/11/2019 19:26,11/11/2019 20:41,,039c3c0bfd2594f989563d1527,,,,1,6,8,6,10,1,3,2,7,5,1,,,,,,,31,3,5,7,unsure,4,2,2,3,3,2
11135660171,249597484,11/11/2019 20:27,11/11/2019 20:39,,9421ef7669961dae8a15d1606f,,,,1,5,0,10,6,2,6,2,4,6,1,,,,,,,1,2,5,0,it varies on your own personal goals. if your self motivated and the field of work you are in,10,2,1,5,5,2
11135650986,249597484,11/11/2019 20:33,11/11/2019 20:35,,8a81b21e1c16c608cfebeb9503,,,,1,7,8,5,4,2,5,2,6,2,,,,,5,,,3,2,5,5,it's thought to find time to do this if there are no Stokes that involve money or time,6,2,1,6,2,2
11135634414,249597484,11/11/2019 20:23,11/11/2019 20:26,,049b6783637fd699fe949bdc18,,,,2,5,5,5,3,2,11,1,6,5,1,,,,,,7,50,3,8,4,Bdjfkrm ,5,2,1,11,1,1
11135571393,249597484,11/11/2019 19:26,11/11/2019 19:53,,24874eadad6e9270ec51d7ddb3,,,,2,5,10,1,10,1,4,2,3,5,1,,,,,,,75,2,7,9,"If that is the best route for them, then that is the best route.",1,2,2,2,8,2
11135569602,249597484,11/11/2019 19:48,11/11/2019 19:51,,ac46772fe263e3b81e3077156c,,,,3,3,7,8,10,2,1,3,5,5,1,,,,,,,2,1,3,7,I just don’t think alternative education has much weight to it ,4,3,1,1,2,1
11135564742,249597484,11/11/2019 19:46,11/11/2019 19:49,,77eafc7a193217afd775285c33,,,,1,7,9,7,2,1,4,2,4,3,,2,,,,,,1,2,8,7,depends how my friend was homeschooled or public school. I don't know i might have to look into it more,5,2,1,1,3,2
11135563825,249597484,11/11/2019 19:47,11/11/2019 19:48,,61fb93bdc927d00602de827473,,,,1,8,7,9,10,2,7,3,7,2,,2,,,,,,38,2,9,8,very likely. ｉjust like,9,3,1,8,9,1
11135549107,249597484,11/11/2019 19:40,11/11/2019 19:41,,5ec4e4fef2bb5a80dd296bf1bb,,,,2,6,6,4,2,2,4,2,7,4,,,3,,,,,0,2,8,9,not really likely,6,2,1,3,7,2
11135546407,249597484,11/11/2019 19:27,11/11/2019 19:39,,b8051b8bf4619a5809eb813aec,,,,2,4,6,4,10,1,11,2,5,5,1,,,,,,,3,1,5,6,"I don’t have experience with alternative education so I wouldn’t necessarily recommend it. However, the articles help me form a more favorable option of alternative education.",8,2,2,11,2,1
11135536999,249597484,11/11/2019 19:27,11/11/2019 19:34,,982fea9b369147baf0f601c606,,,,2,10,10,10,11,1,3,3,5,5,1,,,,,,,0,1,10,10,"I think that all education is valuable and that because people learn in many different ways, formal and alternative education are equally important. If people only went to formal schooling in a college atmosphere, we wouldn't have electricians or plumbers or mechanics. All of these are extremely important in our society.",10,3,2,4,2,2
11135536410,249597484,11/11/2019 19:28,11/11/2019 19:34,,3e4ccf9ae3e09e134d438e344a,,,,2,3,7,7,2,1,6,3,7,5,,2,,,,,,14,2,5,7,I think there needs to be other forms of training besides traditional degrees. But degrees are still required by most companies so it’s hard to stay competitive. ,6,3,2,6,6,1
11135534577,249597484,11/11/2019 19:26,11/11/2019 19:33,,b30f47f128ed91bada646f8e20,,,,3,9,10,10,2,1,5,3,7,5,,,3,4,,,,64,3,10,7,I do recommend alternative education because you you can study from your home by e learning.,10,3,2,4,3,1
11135534439,249597484,11/11/2019 19:28,11/11/2019 19:33,,53be64ca56ed1284d52842ae72,,,,2,1,8,3,2,1,11,2,5,5,1,,,,,,,3,1,5,8,it is somewhat likely that i would recommend alternative education to a friend because it is more affordable.,5,2,2,2,5,2
11135533378,249597484,11/11/2019 19:28,11/11/2019 19:32,,e016f0ca4a8542e7c58475258e,,,,2,5,5,5,2,1,4,3,1,5,,,3,,5,,,39,1,5,5,no change,6,3,2,4,5,2
11135532347,249597484,11/11/2019 19:29,11/11/2019 19:31,,9cc64c74c1d7b795ee8cd89d06,,,,2,10,10,1,5,1,1,2,5,5,,,3,,,,,1,2,8,10,i think an alternative education is just as good as a traditional education. as lomg as it qualifies you the same way then its just as useful.,1,2,2,2,5,2
11135532006,249597484,11/11/2019 19:28,11/11/2019 19:31,,9c658384c04c3c78d7ed73d5c4,,,,1,5,6,8,4,1,3,3,5,5,,,3,,5,,,100,1,6,6,Did not change ,7,3,2,3,5,1
11135531822,249597484,11/11/2019 19:26,11/11/2019 19:31,,264db00bdc2168a1aa23c7e6df,,,,1,3,10,5,4,1,4,3,4,4,,,3,,,,7,40,1,6,10,My scored changed since I was not aware of all everything that was considered alternative education. I do prefer their traditional BA it provides a more stable background.,7,3,2,4,9,1
11135531775,249597484,11/11/2019 19:27,11/11/2019 19:31,,164f267301df382d305e010d98,,,,3,4,6,3,3,1,1,2,2,3,,2,,,,,,5,3,4,4,I don’t go to college ,8,2,2,1,2,1
11135530603,249597484,11/11/2019 19:28,11/11/2019 19:31,,03400da6d86ed308c647a0de8f,,,,2,5,5,6,11,1,1,2,3,3,1,,,,,,,1,2,5,5,I,4,2,2,1,6,1
11135529767,249597484,11/11/2019 19:28,11/11/2019 19:30,,6790d631f03864cb5f31eb2463,,,,3,10,8,10,2,1,1,2,3,5,1,,,,,,,0,1,10,9,"I believe high education is good, I believe that you would learn more and get a better job. ",10,2,2,1,4,1
11135528530,249597484,11/11/2019 19:28,11/11/2019 19:30,,e66a6d9e72ede075910578a747,,,,2,10,8,5,5,1,11,2,5,5,1,,,,,,,2,1,7,10,No idea ,7,3,2,11,8,1
11135528515,249597484,11/11/2019 19:28,11/11/2019 19:29,,5fc5253f23dba8f570295e9ba0,,,,2,8,6,10,10,1,2,3,3,5,1,,,,,,,2,1,10,10,education is the best way to get to,4,3,2,1,5,2
11135528233,249597484,11/11/2019 19:29,11/11/2019 19:30,,f054d353f508f34bcf3b1019bf,,,,1,5,7,7,7,1,5,2,6,5,1,,,,,,7,,,,,,,,,,,
11135527820,249597484,11/11/2019 19:26,11/11/2019 19:29,,7e4673dd41d213eab2e2e20502,,,,1,6,9,5,6,1,5,2,5,5,1,,,,,,,1,1,6,9,There was no exercise provided....,4,2,2,3,9,1
11135527782,249597484,11/11/2019 19:26,11/11/2019 19:29,,963c126f15988a17c3570eae74,,,,2,7,10,5,5,1,2,2,6,5,1,,,,,,,100,3,9,10,It could be a good option for some people. College is not for everyone and alternative is becoming more popular. ,10,2,2,1,6,1
11135527391,249597484,11/11/2019 19:25,11/11/2019 19:29,,43c6d7f9c10715298e6542acf7,,,,2,7,5,10,11,1,3,2,4,5,,,3,,,,,5,2,10,5,I would highly recommend it. I think that a lot of jobs require alternative education versus college and you can be successful and make a lot of money with alternative education only. ,10,2,2,3,3,1
11135527324,249597484,11/11/2019 19:28,11/11/2019 19:29,,703b71dfb9e6db31c3cab7dda2,,,,2,7,6,8,5,1,4,3,4,4,1,,,,,,,14,3,6,7,Very likely ,9,3,2,4,5,1
11135527213,249597484,11/11/2019 19:28,11/11/2019 19:29,,e055b304d5f7d033fcbd64d490,,,,2,8,10,8,5,1,4,3,5,5,1,,,,,,,,,,,,,,,,,
11135526897,249597484,11/11/2019 19:26,11/11/2019 19:29,,dbf1fe80e9310c88f6d88f261b,,,,1,5,7,7,10,1,7,3,7,5,,2,,,,,,0,2,6,6,I think it could be beneficial depending on the circumstances. Less costly and time consuming than a bachelor degree.,7,3,2,6,3,1
11135526742,249597484,11/11/2019 19:27,11/11/2019 19:29,,7aecb3bc49504069701261502a,,,,2,8,3,1,4,2,2,3,7,4,,,3,,,6,,42,3,7,5,Very likely because it’s a good Choice,4,3,2,2,5,1
11135526359,249597484,11/11/2019 19:27,11/11/2019 19:28,,0bcd1f57f63ae4b6e09789594a,,,,1,6,8,5,11,1,5,2,4,5,,2,,,,,,16,2,7,5,Na ,6,2,2,6,5,1
11135526166,249597484,11/11/2019 19:27,11/11/2019 19:29,,20a6290b1f64523139c54c10fc,,,,3,0,0,1,1,1,1,1,1,1,1,,,,,,,0,1,0,0,Q,1,2,2,11,9,2
11135526119,249597484,11/11/2019 19:26,11/11/2019 19:28,,41265133d09843e90ad4ca4f0f,,,,2,9,9,8,2,1,5,3,2,4,,,3,,,,,4,2,10,10, It sure ,8,3,2,5,7,1
11135525845,249597484,11/11/2019 19:27,11/11/2019 19:28,,3fc634e019944f21b333b64942,,,,1,7,6,6,2,1,4,2,3,5,1,,,,,,,52,2,7,5,I don’t know right now but it great  ,9,2,2,3,8,1
11135524063,249597484,11/11/2019 19:26,11/11/2019 19:27,,6978e0598733271cb5dbabe5bf,,,,1,10,10,10,7,1,10,2,8,5,1,,,,,,,42,4,9,8,Chen fb know,10,2,2,1,3,1
11135524024,249597484,11/11/2019 19:26,11/11/2019 19:27,,e909182cd9ddec51d25ba838e6,,,,1,7,10,6,5,1,4,2,5,4,1,,,,,,,55,2,7,6,Cool ,3,3,2,3,5,1
11135523295,249597484,11/11/2019 19:26,11/11/2019 19:27,,5aea2527e7a28d976544ba7614,,,,1,7,5,10,9,2,5,3,1,5,,2,,,,6,,43,3,5,6,Cook,10,2,2,6,6,1
11135520358,249597484,11/11/2019 19:20,11/11/2019 19:25,,45d61cfbdce77eee875a00219e,,,,2,9,8,10,2,1,3,3,4,5,,,3,4,,,,79,1,9,8,"I took the Work Keys test to obtain the job I have now. Without it, I would need at least and associates degree which I do not have.",10,3,2,3,5,2
11135506962,249597484,11/11/2019 19:16,11/11/2019 19:18,,3189bdb73419bd92ea34f00773,,,,1,8,9,9,5,1,6,2,6,5,,,3,,,,,17,2,6,6,Give it you my nunbit. Anyways chile.,3,2,2,5,5,1
11135492951,249597484,11/11/2019 19:08,11/11/2019 19:10,,ef7bfcc94f47c43619d4dcf44c,,,,2,7,10,8,4,2,6,2,5,6,1,,,,,,,90,1,7,10,No new info was introduced,9,2,1,5,2,2
11135487915,249597484,11/11/2019 19:06,11/11/2019 19:08,,c98115d04d2997ad342292f593,,,,1,8,8,10,7,2,10,3,7,5,,2,,,,,,1,2,8,8,I don't think the articles presented anything really new. I still think it could be useful,9,3,1,8,5,2
11135482140,249597484,11/11/2019 19:03,11/11/2019 19:05,,74819a28aef1bccfff487b8bca,,,,1,8,6,10,11,1,4,2,5,4,1,,,,,,,44,1,5,5,I am not likely to reccomend a colleague.,10,2,2,4,7,2
11135476056,249597484,11/11/2019 18:59,11/11/2019 19:02,,ada908a28f565e483542d8b925,,,,1,8,10,7,2,1,2,2,5,5,1,,,,,,,2,3,10,10,I realized how much more valuable alternative education is than I had thought,10,2,2,3,5,1
11135472349,249597484,11/11/2019 18:57,11/11/2019 19:00,,23e5feee24a32f8141cbff29c4,,,,1,10,7,5,11,1,3,2,4,2,1,,,,,,,70,2,9,6,It’s unique ,6,2,2,2,5,1
11135460669,249597484,11/11/2019 18:43,11/11/2019 18:54,,635d0bf67e2c8d877c2aaeb05f,,,,2,5,7,7,5,1,7,3,7,5,1,,,,,,,2,2,5,7,Alternative education can be a very good thing.  You can qualify in most any field.,9,3,2,7,7,2
11135429095,249597484,11/11/2019 18:35,11/11/2019 18:37,,2bc3c9f20ed3cc424a17b31231,,,,2,5,4,10,11,1,2,3,4,5,1,,,,,,,59,1,7,6,Cheaper than college,10,3,2,2,1,1
11135408436,249597484,11/11/2019 18:22,11/11/2019 18:26,,f31b37c5a90514d8ced8b9ace2,,,,3,9,4,8,10,1,4,3,4,5,1,,,,,,,0,2,9,5,My score did not change. Alternative education is a valuable educational pathway. Traditional college is time consuming and highly expensive.,7,3,2,4,2,2
11135399834,249597484,11/11/2019 18:18,11/11/2019 18:22,,026397d9eb890422d4345097bb,,,,2,4,6,8,12,1,3,2,4,4,,,,,,,7,100,4,5,5,i already was aware of the information. ,8,2,2,1,8,1
11135366874,249597484,11/11/2019 18:02,11/11/2019 18:04,,63dd912452f3d30380c0f1986f,,,,3,5,5,6,10,1,1,3,3,5,,,3,4,5,,7,2,1,0,0,none,8,3,2,2,2,2
11135305922,249597484,11/11/2019 14:40,11/11/2019 17:36,,71eb1a37e20547a4ca6e39ee8f,,,,2,7,8,6,1,2,4,1,6,5,,,,4,5,,,1,2,4,7,Very unlikely to recommend to a friend or colleague. My score did not change after completing the exercises.,10,2,1,4,3,2
11135273295,249597484,11/11/2019 17:19,11/11/2019 17:22,,97e161863c056f7d0dec25a787,,,,3,0,0,10,10,1,4,2,4,5,,2,,,,,,63,3,0,0,Idk,10,2,2,4,8,1
11135269255,249597484,11/11/2019 17:16,11/11/2019 17:20,,854dc5db5507538b8a59641017,,,,2,5,7,3,10,1,3,2,4,3,1,,,,,,7,1,2,5,8,I would recommend alternative education if you want to learn a trade. Some of these courses are not accredited.,4,2,2,3,2,2
11135256521,249597484,11/11/2019 17:10,11/11/2019 17:14,,ccbe02a9078b79a95e1a875b84,,,,2,4,4,5,10,1,3,2,4,5,1,,,,,,,0,1,0,0,Not my place to tell others what education they should have. If they are interested they can google it.,6,2,2,3,3,2
11135256007,249597484,11/11/2019 17:12,11/11/2019 17:14,,b6979807150695fb260ca5c313,,,,1,1,1,3,10,1,1,3,4,2,,2,,,,,,10,1,1,1,Gh ,2,3,2,1,9,1
11135228334,249597484,11/11/2019 16:58,11/11/2019 17:01,,f3c07dff630bcfcab44ebe36af,,,,2,10,10,10,2,1,2,3,5,2,1,,,,,,,2,1,10,10,they have higher levels of education.,10,3,2,2,9,2
11135203345,249597484,11/11/2019 16:49,11/11/2019 16:50,,e2e88249b25c480acb080e1d23,,,,2,6,6,7,8,2,4,2,6,5,,,3,,,,,91,4,7,7,I don’t know ,6,2,1,4,2,1
11135174319,249597484,11/11/2019 16:35,11/11/2019 16:38,,409b31c89dcd7333a7d3ff0ede,,,,3,10,6,8,10,1,5,3,3,5,,,3,,,,,9,1,10,6,did not complete,9,3,2,4,7,2
11135061640,249597484,11/11/2019 15:50,11/11/2019 15:51,,bc51ac6899b92e3b91060fd05f,,,,1,7,5,4,5,2,9,2,4,5,,,,4,5,,,64,4,8,6,H,4,2,1,10,9,1
11135048081,249597484,11/11/2019 15:45,11/11/2019 15:47,,248ebe11fb2c627ff114e9b922,,,,1,1,1,7,12,2,8,3,3,5,,2,,,,,,70,1,1,1,My company doesn't put a price on a degree. We hire people for who they are and how they act.,2,3,1,8,2,4
11135045230,249597484,11/11/2019 15:42,11/11/2019 15:45,,61a3f166dd6fd46cf7af12402c,,,,2,7,7,7,2,2,4,2,5,5,,,3,,,,7,52,3,6,5,I thought it was beneficial. I do believe their are more cons that pros in my opinion.,5,2,1,4,5,1
11135012410,249597484,11/11/2019 15:25,11/11/2019 15:32,,5df70dad08e51382ff822055e1,,,,1,10,5,7,6,2,3,3,5,5,,,3,,5,,,48,1,10,5,"College has gotten more expensive & it's value in the market has declined. Alternative education can give you focused, quicker, and cheaper way learn what you need for a job.",10,3,1,3,5,2
11134962866,249597484,11/11/2019 15:08,11/11/2019 15:13,,d7b5fc3ba006323e7578244466,,,,2,0,0,5,11,2,4,3,2,5,,,3,,,,,34,4,0,0,I don't recommend school to anyone. it would be extremely unlikely because I don't.,5,3,1,3,9,2
11134939943,249597484,11/11/2019 15:00,11/11/2019 15:04,,bb2d7c7f0d1f0aba18768160c7,,,,1,5,5,8,10,1,4,3,3,5,,,3,,,,,3,1,5,5,For some it could be better ,8,3,2,4,4,1
11134901388,249597484,11/11/2019 14:47,11/11/2019 14:49,,5a3613d5b035df9313bc1b1251,,,,2,6,8,6,6,2,5,3,5,5,,2,,,,,,83,3,6,8,Jobs still want a degree. Some programming jobs just want to see your skillset though,7,3,1,5,7,1
11134888929,249597484,11/11/2019 14:43,11/11/2019 14:48,,03c048938537df7885898bb1ac,,,,2,10,10,10,5,2,3,2,2,4,,2,,,,,,51,1,10,5,i would recommend alternative education because it can still meet the requirements of certain jobs. You can still succeed in your field of job.,10,2,1,3,2,4
11134868408,249597484,11/11/2019 14:33,11/11/2019 14:37,,ad416841e5fc4f66aea0e047df,,,,1,7,4,10,11,1,3,2,4,5,,,3,,,,,100,1,7,5,after learning more about it I thought you Skip's getting a degree instead you don't. So my answer did change a little.,8,2,2,3,5,2
11134828640,249597484,11/11/2019 14:21,11/11/2019 14:22,,f5084f0ff03cb66d5cef7fd5bb,,,,1,5,3,4,3,2,9,2,3,4,,2,,,,,,37,2,5,4,Good,7,2,2,8,7,6
11134816396,249597484,11/11/2019 14:15,11/11/2019 14:18,,130d788cd129e7db4d82fae917,,,,1,5,5,4,10,2,7,3,5,5,,2,,,5,,,100,1,5,5,poo poo. then pee pee,4,3,1,5,3,2
11134791729,249597484,11/11/2019 14:07,11/11/2019 14:09,,9329295fee375a230fa28c3862,,,,3,6,7,9,10,2,2,2,3,5,1,,,,,,,100,1,4,4,Don’t know ,4,2,1,11,5,1
11134751414,249597484,11/11/2019 13:51,11/11/2019 13:55,,373c914082fa45b93ba33c021e,,,,2,8,9,7,10,2,2,2,4,5,1,,,,,,7,0,1,8,9,you'll have more opportunities. you'll continue to nourish your mind.,7,2,1,2,3,2
11134682911,249597484,11/11/2019 13:28,11/11/2019 13:30,,7724b93bc0dea560bf906a7a3c,,,,1,2,8,2,7,2,8,2,6,2,1,,,,,,,0,1,2,8,I am still not entirely sure the career beenfit of alternative education. It's not widely known or accepted,2,2,1,11,4,1
11134673608,249597484,11/11/2019 13:22,11/11/2019 13:27,,314f219ac52ac91228455c7a78,,,,1,7,7,7,10,2,10,3,7,5,,2,,,5,,,0,1,7,7,I was fairly aware of this information before,8,3,1,10,3,2
11134651411,249597484,11/11/2019 13:13,11/11/2019 13:19,,786a05db90eb1f80f607a80b42,,,,2,5,5,10,5,1,4,3,4,3,,,,,5,,,100,1,5,5,"Depending on the position, alternative education isn’t always required. So, I’m not likely to just outright recommend it. Nope. ",10,3,2,3,7,1
11134644302,249597484,11/11/2019 13:13,11/11/2019 13:17,,52d3f5c8a85e0f369206b3a633,,,,2,2,7,6,5,1,7,2,5,5,1,,,,,,,71,3,5,7,I still believe employers prefer traditional,8,2,2,7,2,1
11134635572,249597484,11/11/2019 13:10,11/11/2019 13:14,,489e9a9bf5c131302c45fbc036,,,,2,5,10,10,2,1,2,3,4,5,1,,,,,,7,100,1,5,10,Ha,10,3,2,3,7,1
11134616919,249597484,11/11/2019 13:04,11/11/2019 13:08,,2404cb07a91efd5c61f1a37d24,,,,2,7,10,9,5,1,2,2,4,2,1,,,,,,,100,2,10,10,I think all three articles have compelling reasons to explore alternative education that I was unaware of before.,10,2,2,1,9,1
11134600824,249597484,11/11/2019 13:00,11/11/2019 13:03,,31540016d1753e9472b6a1ec18,,,,1,8,7,7,7,2,6,2,5,5,,,3,,,,7,92,2,8,6,big ol peepee,8,2,1,5,3,2
11134517994,249597484,11/11/2019 12:30,11/11/2019 12:33,,3bbafab856216226f75a04b0a3,,,,2,7,6,7,9,2,5,2,5,2,1,,,,,,,100,1,6,7,College is not for everyone. Some places require you to take tests which truly evaluates you level of knowledge. ,8,2,1,5,1,1
11134517384,249597484,11/11/2019 12:25,11/11/2019 12:33,,42d97c59c5707c0d78ff450121,,,,2,6,7,7,10,2,3,3,3,2,1,,,,,,,1,1,6,7,I would recommend alternative education to a friend or a colleague because it helps people gain more knowledge and help them more in getting jobs. my score did not change because i think the exercise don't make any changes.,7,3,1,3,3,2
11134504168,249597484,11/11/2019 12:27,11/11/2019 12:29,,2b4bef20546bfaa9a414948d13,,,,2,10,5,10,10,1,3,3,4,5,,2,,,,,,100,1,10,5,Trade school is important as it is something that we will always need.,10,3,2,1,9,1
11134500467,249597484,11/11/2019 12:25,11/11/2019 12:27,,d25326bdba0315aa1878825d73,,,,1,8,5,7,7,2,4,2,5,3,1,,,,,,,1,2,7,6,Alternative education is something i would have to sit in and see for myself,6,2,1,4,6,1
11134496919,249597484,11/11/2019 12:25,11/11/2019 12:26,,04124f30e99a90b2d405334f84,,,,2,8,9,7,11,2,5,3,7,2,,2,,,,,,36,3,8,8,N,6,3,1,5,5,1
11134452897,249597484,11/11/2019 12:10,11/11/2019 12:11,,c742d4b6ab9be62492256ac2d6,,,,1,10,7,9,2,1,4,2,6,5,,2,3,,,,,3,2,8,7,I would recommend it because I think it’s helpful and it’s easy to use.,7,2,2,4,3,1
11134399225,249597484,11/11/2019 11:51,11/11/2019 11:52,,7b31cc454ec9dcaf6c484e4ba9,,,,1,7,5,8,4,1,6,2,7,4,1,,,,,,,2,2,8,7,You can call him off when your mom and then went and then I’ll let y’all be fine I’ll ,7,2,2,4,7,1
11134388785,249597484,11/11/2019 11:46,11/11/2019 11:49,,7429bd85ac7005a0c87486c812,,,,1,3,5,7,4,2,2,3,3,5,1,,,,,,,51,3,5,7,I probably wouldn't cause you can make just as much money doing a trade or other.,8,3,1,1,3,2
11134347203,249597484,11/11/2019 11:32,11/11/2019 11:35,,2080e2e2d59f72373035e692c1,,,,3,5,7,6,10,1,1,2,4,5,1,,,,,,,2,1,6,7,"I believe that for trade skill jobs, alternative education is more beneficial than traditional college.  Alternative education can allow for hands on experience with work and get people working quicker than if they went into college.",7,2,2,1,6,2
11134253223,249597484,11/11/2019 11:00,11/11/2019 11:03,,e3f3a2be5fe6586dc318554c7c,,,,3,5,5,5,10,1,2,2,4,5,1,,,,,,,0,1,5,5,"Depends on the situation to weather I would recommend or not, if looking for work it is certainly a benefit, maybe then I would.",5,2,2,1,3,1
11134237317,249597484,11/11/2019 10:56,11/11/2019 10:58,,bd21b5f4ad519c5e43594fe42e,,,,1,8,8,8,6,2,6,2,7,2,1,,,,,,,12,2,7,7,How easy to learn and get the data,8,2,1,6,5,1
11134233320,249597484,11/11/2019 10:56,11/11/2019 10:57,,6134141f9dc4d6ab3aacb1b726,,,,2,1,9,4,10,2,3,3,3,4,,2,,,,,,76,2,1,1,Mx,3,3,1,3,4,1
11134123945,249597484,11/11/2019 10:13,11/11/2019 10:19,,dd108310305f83240aab3f71a7,,,,3,2,5,3,10,1,2,2,4,2,1,,,,,,,3,1,5,5,"I still feel as if I don't know enough information. I would have to research some more information, including pros and cons.",3,2,2,11,9,2
11134112714,249597484,11/11/2019 10:14,11/11/2019 10:15,,4c70618b19de7777e62952802b,,,,1,10,10,10,2,2,4,2,1,5,,,,,5,,,49,3,10,10,None,10,2,1,3,2,1
