Respondent ID,Collector ID,Start Date,End Date,IP Address,Custom Data 1,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",It will soon become fairly conventional for high school graduates to obtain alternative credentials instead of going to college.,"When you add up the pros and cons for online education, it's probably a good thing for society overall.","When you add up the pros and cons for artificial intelligence, it's probably a good thing for society overall.",Have you heard of any of the following online course providers?,,,,,Which of these industries most closely matches your profession?,Government regulation helps ensure businesses treat individuals more fairly.,Gender?,Household Income?,Exact Age,What is the highest level of education you have completed?,Which race/ethnicity best describes you? (Please choose only one.) ,Have you received college Credit By Examination for any of the below?,,,,,,,,,,,I consider myself religious,Which of the following statements are true for you?,,,,,,,Do you work in a STEM profession?,"If you are a Mechanical Turk Worker, please add your Worker ID. Otherwise write ""n/a""."
11150939653,249964463,11/17/2019 10:34,11/17/2019 10:36,73.166.88.162,,1,9,5,4,2,,,,,5,2,2,1,5,25,6,3,1,,,,,,,,,,,4,1,,,,,,,2,ANEM435BSW3XU
11150909089,249964463,11/17/2019 10:06,11/17/2019 10:08,100.6.102.245,,3,7,5,10,10,,2,3,,5,10,8,1,3,27,4,5,,,,,,,,,,,11,1,,,3,,5,,,2,A1PKCBFB4QY19G
11150908926,249964463,11/17/2019 10:07,11/17/2019 10:08,174.59.5.207,,1,5,5,5,5,,2,,,,3,4,2,4,26,3,5,,,,,,,,,9,,,4,1,,,,,,,2,A53WVYONK6B9Q
11150898089,249964463,11/17/2019 9:56,11/17/2019 9:58,47.18.88.102,,1,7,6,6,6,,,3,,,8,6,2,4,23,4,4,,,,,,6,,,9,,,4,1,,,,,,,2,A2MOII8IL6SUG
11150897436,249964463,11/17/2019 9:54,11/17/2019 9:57,73.236.179.69,,2,1,3,6,6,,,,,5,4,7,1,2,23,5,5,,,,,,,,,,,11,5,1,,,,,,,2,A37X9UVUH0IOLE
11150892198,249964463,11/17/2019 9:51,11/17/2019 9:52,73.83.132.168,,2,7,7,8,7,,2,3,,,10,9,1,2,26,5,5,,,,,,6,,,,,,1,1,,,,,,,2,A11FFJZ0C984W4
11150878502,249964463,11/17/2019 9:34,11/17/2019 9:39,107.77.201.21,,3,7,10,8,6,,2,,,5,11,8,1,3,23,3,5,,,,,,,,8,,10,,4,,,3,,5,,,2,A1NK6JATWY32BN
11150874272,249964463,11/17/2019 9:29,11/17/2019 9:35,71.224.150.164,,1,2,1,5,4,1,2,3,,5,5,10,1,5,27,5,5,1,,,,,6,,,,,,1,1,,,,,,,1,A18RDBJFY3QWZL
11150872993,249964463,11/17/2019 9:30,11/17/2019 9:33,71.232.53.168,,1,8,6,6,8,,,,,5,12,7,2,3,27,5,4,,,,,,6,,,,,,2,1,,,,,,,2,A3I72FPW52ABJ5
11150868541,249964463,11/17/2019 9:23,11/17/2019 9:29,173.254.254.20,,1,8,8,10,10,,,,,5,5,9,1,10,24,5,5,,,,4,,,7,,,,,6,1,,,,,,,3,A3JGSSDEJ0AWTW
11150860187,249964463,11/17/2019 9:16,11/17/2019 9:22,174.229.129.166,,2,8,7,6,4,1,,,,,10,9,1,4,23,5,5,,,,,,,,,,10,,2,1,,,,,,,2,A3JKYTCUACTDZA
11150859559,249964463,11/17/2019 9:19,11/17/2019 9:21,184.188.101.162,,1,8,8,7,8,,,3,,5,2,7,1,5,23,5,5,,,,,,6,7,,,,,8,1,,,,,,,1,A2UWM8UFXGX54
11150859203,249964463,11/17/2019 9:10,11/17/2019 9:20,98.167.174.4,,2,4,6,7,6,,,3,,5,8,4,1,7,23,5,3,,,,,,6,,,,10,,1,1,,,,,,,2,A34DNSQXWOV0AQ
11150855592,249964463,11/17/2019 9:13,11/17/2019 9:17,50.111.30.143,,2,6,8,8,6,,,3,,,11,6,1,4,25,4,5,,,,,,6,,,,,,9,,2,,,,,,2,A3KHOW5FW32RUL
11150851143,249964463,11/17/2019 9:10,11/17/2019 9:12,68.55.226.184,,1,5,8,9,3,1,,3,,,8,3,2,3,26,5,5,,,,,,6,,,,,,1,1,,,,,,,2,AX1VE31JZ45RY
11150849622,249964463,11/17/2019 9:08,11/17/2019 9:11,69.76.169.166,,2,7,6,7,8,1,2,,,,2,7,2,3,25,5,5,,,,,,6,,,,,,4,1,,,,,,,1,A2S75O867RJG0I
11150848967,249964463,11/17/2019 9:07,11/17/2019 9:10,71.91.144.93,,1,10,9,9,9,,,3,,,11,9,2,6,22,3,3,1,,,,,,,,,,,10,1,,,,,,,2,AB774I47XHB4K
11150843476,249964463,11/17/2019 9:03,11/17/2019 9:05,75.136.9.3,,2,5,5,6,5,,2,,,,10,6,1,1,25,5,5,,,,,,,,,9,,,6,,,3,,5,,7,2,A3C4UHWHON50ZQ
11150842565,249964463,11/17/2019 9:01,11/17/2019 9:04,76.30.104.215,,2,10,10,10,10,1,2,3,4,5,12,5,2,3,24,4,4,,,,,,6,,,,,,1,1,,,,,,7,2,A9YN0N476F6PR
11150832917,249964463,11/17/2019 8:46,11/17/2019 8:58,24.158.105.62,,3,10,10,8,10,,,,,,10,7,2,5,23,2,5,,,,,,,,,,10,,1,1,,,,,,,2,A1FNNL4YJGBU8U
11150827964,249964463,11/17/2019 8:46,11/17/2019 8:49,172.58.139.165,,2,8,9,7,5,,,,,,11,3,1,1,22,4,5,,,,,,6,,,,,,10,1,,,,,,7,2,AOZE7Y2EF5QDN
11150827422,249964463,11/17/2019 8:47,11/17/2019 8:48,98.110.59.124,,2,7,3,7,5,1,2,3,,5,6,8,2,4,24,6,2,,,,,,6,,,,,,1,1,,,,,,,2,AE87K978IXPYP
