Respondent ID,Collector ID,Start Date,End Date,IP Address,Custom Data 1,custom_value7,custom_value9,custom_value8,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",It will soon become fairly conventional for high school graduates to obtain alternative credentials instead of going to college.,"When you add up the pros and cons for online education, it's probably a good thing for society overall.","When you add up the pros and cons for artificial intelligence, it's probably a good thing for society overall.",Have you heard of any of the following online course providers?,,,,,Which of these industries most closely matches your profession?,Government regulation helps ensure businesses treat individuals more fairly.,Gender?,Household Income?,Age?,Exact Age,What is the highest level of education you have completed?,Which race/ethnicity best describes you? (Please choose only one.) ,"If you are a Mechanical Turk Worker, please add your Worker ID. Otherwise write ""n/a"".",Age,Gender,Household Income,Region,Device Type
11284458051,252761849,1/19/2020 8:24,1/19/2020 8:33,47.221.137.150,,,,,2,10,10,5,5,,,,,,10,4,1,6,5,76,4,5,,,,,,
11283942145,252761849,1/18/2020 18:44,1/18/2020 18:46,97.94.131.8,,,,,2,4,3,7,3,1,2,3,,,8,8,1,2,3,35,5,2,A2ZQCHONMAJZF,,,,,
11283912636,252761849,1/18/2020 18:05,1/18/2020 18:06,96.8.253.122,,,,,2,5,7,6,8,,2,,,,10,8,2,5,2,19,5,2,A1SX8IVV82M0LW,,,,,
11283908888,252761849,1/18/2020 18:00,1/18/2020 18:01,108.53.56.59,,,,,1,5,3,6,9,,2,3,,5,2,7,2,4,3,39,5,2,A1R5W4RQZTROD8,,,,,
11283890488,252761849,1/18/2020 17:36,1/18/2020 17:38,184.96.172.152,,,,,1,10,8,8,10,1,2,,,,6,8,2,6,2,22,4,4,A11SMG7AJLZX0V,,,,,
11283888338,252761849,1/18/2020 17:32,1/18/2020 17:35,65.249.163.131,,,,,1,8,7,7,8,,,,4,,1,5,1,2,2,53,6,5,A7CS3EY6JWY7A,,,,,
11283882688,252761849,1/18/2020 17:28,1/18/2020 17:28,98.182.132.130,,,,,1,5,6,7,6,1,,,,5,8,7,2,5,4,50,5,5,AQOXSP4W3ITSW,,,,,
11283881964,252761849,1/18/2020 17:26,1/18/2020 17:27,98.182.132.130,,,,,1,5,6,7,6,1,,,,5,8,7,2,5,4,50,5,5,AQOXSP4W3ITSW,,,,,
11283877204,252761849,1/18/2020 17:18,1/18/2020 17:22,98.122.142.152,,,,,2,8,4,10,9,,2,3,,5,4,8,2,4,2,22,5,5,AD72VY8GLM8E2,,,,,
11283875602,252761849,1/18/2020 17:18,1/18/2020 17:20,96.36.47.33,,,,,2,3,6,5,1,,,,,,10,5,2,2,3,35,3,5,A258MR1IS96JEP,,,,,
11283864675,252761849,1/18/2020 17:06,1/18/2020 17:07,68.7.221.24,,,,,1,5,8,8,7,,,3,,5,6,2,2,4,3,33,5,5,A19H44LQJ0TEXF,,,,,
11283863003,252761849,1/18/2020 16:45,1/18/2020 17:05,76.185.183.214,,,,,2,7,5,8,5,1,2,3,,,6,5,2,2,3,39,4,4,A3RYI5HXC2MJLN,,,,,
11283862590,252761849,1/18/2020 17:02,1/18/2020 17:05,73.7.108.229,,,,,2,6,7,6,7,1,2,3,,5,6,7,2,5,2,20,5,2,A1EWA8X6KNU30M,,,,,
11283861198,252761849,1/18/2020 17:01,1/18/2020 17:03,69.180.87.203,,,,,2,9,10,8,5,,2,3,,5,10,3,1,4,3,39,7,5,A3S3NLZV7A06QN,,,,,
11283860761,252761849,1/18/2020 17:01,1/18/2020 17:03,174.85.190.82,,,,,2,8,9,8,8,,,3,,,11,8,1,2,2,25,4,5,A2UIGDOLX5RV95,,,,,
11283860663,252761849,1/18/2020 16:52,1/18/2020 17:02,174.216.7.79,,,,,2,10,6,10,6,,2,,,5,10,10,1,3,5,62,5,5,ASP32QB28TEZU,,,,,
11283857710,252761849,1/18/2020 16:58,1/18/2020 16:59,184.98.49.101,,,,,2,7,2,7,6,,2,,,,11,3,1,2,5,71,3,5,A35TWG9VW1MB5S,,,,,
11283857568,252761849,1/18/2020 16:57,1/18/2020 16:59,71.91.144.93,,,,,2,9,9,9,8,1,2,,,,11,8,2,5,2,23,3,3,AEOFJWOEXF94U,,,,,
11283856727,252761849,1/18/2020 16:56,1/18/2020 16:58,174.86.203.221,,,,,1,10,3,7,10,,,,,5,4,8,1,6,2,23,6,3,A213AEBX8ZH75U,,,,,
11283856470,252761849,1/18/2020 16:56,1/18/2020 16:58,50.237.234.7,,,,,2,8,2,1,5,,,3,,5,10,10,1,10,2,21,4,5,A3L7PYC9CCZCLA,,,,,
11283856377,252761849,1/18/2020 16:56,1/18/2020 16:57,107.3.168.82,,,,,2,1,1,10,10,,,,,,11,1,2,6,2,23,5,5,A2JSI4F867V78O,,,,,
11283855911,252761849,1/18/2020 16:55,1/18/2020 16:57,24.38.198.65,,,,,1,5,1,4,6,,2,,,,4,8,2,4,3,34,5,5,A154X03NKVZZL1,,,,,
11283854256,252761849,1/18/2020 16:53,1/18/2020 16:55,65.249.163.113,,,,,1,9,10,9,10,1,,,,,1,9,1,5,2,27,6,5,A2DP6QH1K9DMSC,,,,,
11283854019,252761849,1/18/2020 16:54,1/18/2020 16:55,73.181.157.141,,,,,2,10,10,10,5,1,2,3,4,5,10,9,1,3,2,26,5,6,AA9SBG7LNCG8Q,,,,,
11283852607,252761849,1/18/2020 16:51,1/18/2020 16:53,70.180.210.193,,,,,1,8,10,10,10,1,2,3,,5,6,6,1,3,2,24,5,5,AN0JVAS4VR13F,,,,,
11283850820,252761849,1/18/2020 16:50,1/18/2020 16:51,108.65.124.61,,,,,1,8,5,6,7,,,3,,,11,6,1,11,2,24,5,5,A1WKF2VH7TV0H2,,,,,
11283850793,252761849,1/18/2020 16:50,1/18/2020 16:51,108.209.173.202,,,,,2,3,7,8,6,1,2,3,,5,6,5,1,4,2,26,4,4,A14I3K8UN3612X,,,,,
11283850256,252761849,1/18/2020 16:49,1/18/2020 16:51,173.188.66.167,,,,,1,7,8,6,8,1,,3,4,,6,8,2,5,2,24,5,3,A27ZE20JZ3VDUP,,,,,
11283849157,252761849,1/18/2020 16:47,1/18/2020 16:49,108.55.118.81,,,,,1,7,8,5,4,1,,3,,5,8,4,2,4,2,22,5,5,A3VALDM1L2MH5D,,,,,
11283848981,252761849,1/18/2020 16:48,1/18/2020 16:49,162.202.52.30,,,,,1,8,5,10,10,,,3,,,11,7,2,2,2,25,4,5,A12S4E3AJF8JSK,,,,,
11283848424,252761849,1/18/2020 16:42,1/18/2020 16:49,24.21.105.178,,,,,1,3,4,6,8,1,,3,,5,6,9,2,5,4,56,5,5,AYS5D72DT1WNT,,,,,
11283848127,252761849,1/18/2020 16:42,1/18/2020 16:48,2.56.33.148,,,,,1,7,9,6,8,1,,,,,8,9,2,3,2,29,6,5,n/a,,,,,
11283846753,252761849,1/18/2020 16:25,1/18/2020 16:47,196.52.2.33,,,,,1,10,9,9,10,1,2,3,4,5,6,9,2,4,2,25,7,5,A3LE1BIVORW3VR,,,,,
11283846674,252761849,1/18/2020 16:44,1/18/2020 16:46,74.98.212.190,,,,,1,10,10,10,5,,,3,,,2,10,1,4,3,36,7,5,AIHHRINW9IN1I,,,,,
11283846671,252761849,1/18/2020 16:44,1/18/2020 16:46,208.68.115.27,,,,,2,8,6,8,5,,2,3,,5,2,6,1,7,3,39,4,5,AD31G23YQ5NO5,,,,,
11283846403,252761849,1/18/2020 16:43,1/18/2020 16:46,63.227.40.93,,,,,1,8,7,9,6,,,,,5,11,10,2,3,4,55,4,5,A397HP5TSIF2LO,,,,,
11283846378,252761849,1/18/2020 16:44,1/18/2020 16:46,76.105.14.4,,,,,2,4,5,5,5,1,,,,,8,4,2,2,4,54,4,5,A2615YW1YERQBO,,,,,
11283845417,252761849,1/18/2020 16:42,1/18/2020 16:45,68.83.64.108,,,,,2,10,6,10,3,,,3,,,10,5,1,3,2,24,5,3,A1UU6W7EDFNGSD,,,,,
11283845121,252761849,1/18/2020 16:42,1/18/2020 16:45,47.33.210.132,,,,,2,6,8,8,7,,,3,,,12,8,1,2,4,57,4,5,A12UOIO3KBRF7M,,,,,
11283844952,252761849,1/18/2020 16:43,1/18/2020 16:45,71.30.18.78,,,,,1,10,7,8,7,1,2,3,,,2,10,1,4,3,30,7,5,A2YAYHZYI7M3HD,,,,,
11283844486,252761849,1/18/2020 16:43,1/18/2020 16:44,107.5.37.93,,,,,1,7,5,9,7,,,,,5,8,8,1,2,4,48,4,5,A362CV8OOYJA6W,,,,,
11283844262,252761849,1/18/2020 16:41,1/18/2020 16:44,67.185.237.215,,,,,1,8,7,10,8,,,3,,,11,7,1,4,2,24,4,5,A4EJNWLWAUTDU,,,,,
11283843790,252761849,1/18/2020 16:42,1/18/2020 16:43,69.77.229.127,,,,,2,10,8,6,7,,,,,5,6,4,2,3,2,22,4,5,AYG8B3ZK9K6E4,,,,,
11283843545,252761849,1/18/2020 16:41,1/18/2020 16:43,24.91.180.31,,,,,1,3,8,6,4,,2,3,,,10,1,1,2,3,40,7,5,A24LUXW1DB1QI5,,,,,
11283842648,252761849,1/18/2020 16:39,1/18/2020 16:43,132.145.210.109,,,,,1,10,9,10,10,1,,,,,2,7,1,3,2,26,3,5,A37AFDQ7UTTTM5,,,,,
11283841785,252761849,1/18/2020 16:39,1/18/2020 16:41,128.92.135.82,,,,,2,10,6,8,10,1,,3,,5,6,7,2,5,2,27,5,2,AWWZE09IIKCTD,,,,,
