Respondent ID,Collector ID,CompletionTimeMinutes,End Date,FavorEntryLevel,FavorConventionalSoon,FavorOnlineEducation,FavorAI,FavorCrypto,FavorAmerican,HeardOfUdacity,HeardOfUdemy,HeardOfCoursera,HeardOfPluralsight,HeardOfLynda,Industry,FavorReligion,FavorChristianity,FavorRegulation,SurveyMonkeyAge,SurveyMonkeyIncome,SurveyMonkeyRegion,IsSurveyMonkeyMale,IsSurveyMonkeyFemale,IsSurveyMonkeyUnreportedGender,IsSurveyMonkeyIncomePreferNotDisclose,IsManager,IsUnemployed,IsStem,IsNotStem,IsUnsureStem,IsUnreportedStem,IsMale,IsFemale
6947746678,175020213,2,10/9/2018 22:25,8,10,10,10,7,4,0,0,0,0,0,11,10,1,1,,,,0,0,1,0,1,0,0,1,0,0,0,0
6947554009,175027024,3,10/9/2018 11:58,3,4,5,7,5,6,1,0,0,0,0,10,1,1,9,2,,9,1,0,0,1,0,1,0,0,1,0,1,0
6947553640,175027024,2,10/9/2018 11:57,10,10,9,6,7,8,0,0,0,0,0,2,6,6,4,4,6,9,1,0,0,0,0,0,0,1,0,0,1,0
6947553617,175027024,3,10/9/2018 11:57,7,5,8,10,5,9,1,1,1,1,1,6,1,1,9,3,10,9,1,0,0,0,0,0,1,0,0,0,1,0
6947553592,175027024,4,10/9/2018 11:57,8,6,6,6,4,6,0,1,1,0,0,10,1,1,10,2,5,2,1,0,0,0,0,1,0,1,0,0,1,0
6947552881,175027024,1,10/9/2018 11:56,6,6,8,4,3,4,0,1,0,0,0,6,4,4,4,3,9,5,1,0,0,0,1,0,0,1,0,0,1,0
6947552872,175027024,1,10/9/2018 11:56,4,6,3,6,7,2,0,0,0,1,0,6,3,6,4,2,5,7,1,0,0,0,1,0,0,1,0,0,1,0
6947552834,175027024,2,10/9/2018 11:56,5,7,7,8,7,4,1,1,1,1,1,6,1,1,7,3,10,9,1,0,0,0,1,0,1,0,0,0,1,0
6947552802,175027024,2,10/9/2018 11:56,10,10,10,10,10,10,1,0,0,0,0,2,10,10,10,2,10,1,1,0,0,0,1,0,1,0,0,0,1,0
6947552739,175027024,3,10/9/2018 11:56,8,7,9,6,3,7,0,0,0,0,1,10,1,1,8,2,2,6,1,0,0,0,0,0,0,1,0,0,1,0
6947552712,175027024,1,10/9/2018 11:55,10,10,10,10,10,10,0,0,1,0,0,6,10,10,10,4,5,9,1,0,0,0,0,0,0,0,1,0,1,0
6947552687,175027024,2,10/9/2018 11:55,5,5,5,5,5,5,0,0,0,1,0,6,10,10,6,3,5,8,1,0,0,0,0,0,0,1,0,0,1,0
6947552662,175027024,1,10/9/2018 11:55,6,9,1,1,1,10,0,0,0,0,0,5,1,1,4,3,5,5,1,0,0,0,1,0,1,0,0,0,1,0
6947552543,175027024,1,10/9/2018 11:55,5,4,3,5,1,8,0,0,0,0,1,10,10,10,6,2,1,3,1,0,0,0,0,0,0,1,0,0,1,0
6947552468,175027024,3,10/9/2018 11:55,2,5,5,4,1,4,0,0,0,0,0,12,9,9,4,3,3,5,1,0,0,0,0,0,0,0,1,0,1,0
