"RespondentID","CollectorID","EndDate","FavorEntryLevel","Industry","ReportedIncome","ReportedAge","Education","Ethnicity","SurveyMonkeyAge","SurveyMonkeyIncome","SurveyMonkeyRegion","IsReportedMale","IsReportedFemale","IsReportedNonbinary","IsUnreportedGender","IsReportedIncomePreferNotDisclose","IsSurveyMonkeyMale","IsSurveyMonkeyFemale","IsSurveyMonkeyUnreportedGender","IsSurveyMonkeyIncomePreferNotDisclose","IsManager","IsUnemployed","IsMale","IsFemale"
"11132608278","249561822","11/10/2019 16:42","2","6","1","2","3","1","2","2","2","1","0","0","0","0","0","1","0","0","1","0","1","1"
"11132609953","249561822","11/10/2019 16:43","4","5","1","2","4","2","2","1","2","0","1","0","0","0","0","1","0","0","0","0","0","1"
"11132609332","249561822","11/10/2019 16:43","2","4","4","2","8","5","2","","5","0","1","0","0","0","0","1","0","1","0","0","0","1"
"11132613606","249561822","11/10/2019 16:47","5","10","3","2","3","5","2","1","7","0","1","0","0","0","0","1","0","0","0","0","0","1"
"11132610877","249561822","11/10/2019 16:44","7","11","3","3","3","5","3","3","3","1","0","0","0","0","1","0","0","0","0","0","1","0"
"11132615516","249561822","11/10/2019 16:49","5","10","1","2","5","3","2","2","3","0","1","0","0","0","0","1","0","0","0","0","0","1"
"11132616149","249561822","11/10/2019 16:49","4","2","5","3","6","4","2","","9","1","0","0","0","0","1","0","0","1","0","0","1","0"
"11132618952","249561822","11/10/2019 16:52","10","11","8","2","3","5","2","4","5","1","0","0","0","0","1","0","0","0","1","0","1","0"
"11132622578","249561822","11/10/2019 16:56","4","4","3","3","2","4","3","4","9","0","1","0","0","0","0","1","0","0","1","0","0","1"
"11132622600","249561822","11/10/2019 16:56","5","5","4","2","4","3","2","5","5","1","0","0","0","0","1","0","0","0","1","0","1","0"
"11132622986","249561822","11/10/2019 16:56","9","2","1","2","4","5","2","1","3","0","1","0","0","0","0","1","0","0","1","0","0","1"
"11132623184","249561822","11/10/2019 16:56","10","11","1","2","4","4","2","2","9","1","0","0","0","0","1","0","0","0","0","0","1","0"
"11132630836","249561822","11/10/2019 17:04","10","7","4","2","2","5","2","3","4","1","0","0","0","0","1","0","0","0","0","0","1","0"
"11132628371","249561822","11/10/2019 17:02","6","2","2","2","4","4","2","1","9","0","1","0","0","0","0","1","0","0","0","0","0","1"
"11132633529","249561822","11/10/2019 17:07","7","11","3","2","3","5","2","6","6","0","1","0","0","0","0","1","0","0","1","0","0","1"
"11132645492","249561822","11/10/2019 17:18","8","4","3","2","4","5","2","4","5","1","0","0","0","0","1","0","0","0","1","0","1","0"
"11132645663","249561822","11/10/2019 17:18","8","10","2","3","4","5","3","2","5","0","1","0","0","0","0","1","0","0","1","0","0","1"
"11132645735","249561822","11/10/2019 17:18","8","10","3","2","4","4","2","3","2","1","0","0","0","0","1","0","0","0","0","1","1","0"
"11132647075","249561822","11/10/2019 17:20","10","6","5","3","4","5","3","5","5","1","0","0","0","0","1","0","0","0","1","0","1","0"
"11132649225","249561822","11/10/2019 17:22","8","5","5","2","5","3","2","7","3","1","0","0","0","0","1","0","0","0","1","0","1","0"
"11132658142","249561822","11/10/2019 17:31","10","8","6","3","4","3","3","10","7","0","1","0","0","0","0","1","0","0","1","0","0","1"
"11132650480","249561822","11/10/2019 17:23","1","8","4","3","4","5","3","4","9","1","0","0","0","0","1","0","0","0","0","0","1","0"
