Respondent ID,Collector ID,End Date,FavorEntryLevel,FavorConventionalSoon,FavorOnlineEducation,FavorAI,HeardOfUdacity,HeardOfUdemy,HeardOfCoursera,HeardOfPluralsight,HeardOfLynda,Industry,FavorRegulation,ReportedIncome,ReportedAge,ReportedExactAge,Education,Ethnicity,SurveyMonkeyAge,SurveyMonkeyIncome,SurveyMonkeyRegion,IsReportedMale,IsReportedFemale,IsReportedNonbinary,IsUnreportedGender,IsReportedIncomePreferNotDisclose,IsSurveyMonkeyMale,IsSurveyMonkeyFemale,IsSurveyMonkeyUnreportedGender,IsSurveyMonkeyIncomePreferNotDisclose,IsManager,IsUnemployed,IsMale,IsFemale
11283942145,252761849,1/18/2020 18:46,4,3,7,3,1,1,1,0,0,8,8,2,3,35,5,2,,,,0,1,0,0,0,0,0,1,0,0,0,0,1
11283912636,252761849,1/18/2020 18:06,5,7,6,8,0,1,0,0,0,10,8,5,2,19,5,2,,,,1,0,0,0,0,0,0,1,0,0,0,1,0
11283908888,252761849,1/18/2020 18:01,5,3,6,9,0,1,1,0,1,2,7,4,3,39,5,2,,,,1,0,0,0,0,0,0,1,0,1,0,1,0
11283890488,252761849,1/18/2020 17:38,10,8,8,10,1,1,0,0,0,6,8,6,2,22,4,4,,,,1,0,0,0,0,0,0,1,0,1,0,1,0
11283888338,252761849,1/18/2020 17:35,8,7,7,8,0,0,0,1,0,1,5,2,2,53,6,5,,,,0,1,0,0,0,0,0,1,0,1,0,0,1
11283882688,252761849,1/18/2020 17:28,5,6,7,6,1,0,0,0,1,8,7,5,4,50,5,5,,,,1,0,0,0,0,0,0,1,0,1,0,1,0
11283881964,252761849,1/18/2020 17:27,5,6,7,6,1,0,0,0,1,8,7,5,4,50,5,5,,,,1,0,0,0,0,0,0,1,0,1,0,1,0
11283877204,252761849,1/18/2020 17:22,8,4,10,9,0,1,1,0,1,4,8,4,2,22,5,5,,,,1,0,0,0,0,0,0,1,0,0,0,1,0
11283875602,252761849,1/18/2020 17:20,3,6,5,1,0,0,0,0,0,10,5,2,3,35,3,5,,,,1,0,0,0,0,0,0,1,0,0,0,1,0
11283864675,252761849,1/18/2020 17:07,5,8,8,7,0,0,1,0,1,6,2,4,3,33,5,5,,,,1,0,0,0,0,0,0,1,0,1,0,1,0
11283863003,252761849,1/18/2020 17:05,7,5,8,5,1,1,1,0,0,6,5,2,3,39,4,4,,,,1,0,0,0,0,0,0,1,0,0,0,1,0
11283862590,252761849,1/18/2020 17:05,6,7,6,7,1,1,1,0,1,6,7,5,2,20,5,2,,,,1,0,0,0,0,0,0,1,0,0,0,1,0
11283861198,252761849,1/18/2020 17:03,9,10,8,5,0,1,1,0,1,10,3,4,3,39,7,5,,,,0,1,0,0,0,0,0,1,0,0,0,0,1
11283860761,252761849,1/18/2020 17:03,8,9,8,8,0,0,1,0,0,11,8,2,2,25,4,5,,,,0,1,0,0,0,0,0,1,0,0,0,0,1
11283860663,252761849,1/18/2020 17:02,10,6,10,6,0,1,0,0,1,10,10,3,5,62,5,5,,,,0,1,0,0,0,0,0,1,0,0,0,0,1
11283857710,252761849,1/18/2020 16:59,7,2,7,6,0,1,0,0,0,11,3,2,5,71,3,5,,,,0,1,0,0,0,0,0,1,0,0,0,0,1
11283857568,252761849,1/18/2020 16:59,9,9,9,8,1,1,0,0,0,11,8,5,2,23,3,3,,,,1,0,0,0,0,0,0,1,0,0,0,1,0
11283856727,252761849,1/18/2020 16:58,10,3,7,10,0,0,0,0,1,4,8,6,2,23,6,3,,,,0,1,0,0,0,0,0,1,0,1,0,0,1
11283856470,252761849,1/18/2020 16:58,8,2,1,5,0,0,1,0,1,10,10,10,2,21,4,5,,,,0,1,0,0,0,0,0,1,0,0,0,0,1
11283856377,252761849,1/18/2020 16:57,1,1,10,10,0,0,0,0,0,11,1,6,2,23,5,5,,,,1,0,0,0,0,0,0,1,0,0,0,1,0
11283855911,252761849,1/18/2020 16:57,5,1,4,6,0,1,0,0,0,4,8,4,3,34,5,5,,,,1,0,0,0,0,0,0,1,0,1,0,1,0
11283854256,252761849,1/18/2020 16:55,9,10,9,10,1,0,0,0,0,1,9,5,2,27,6,5,,,,0,1,0,0,0,0,0,1,0,1,0,0,1
11283854019,252761849,1/18/2020 16:55,10,10,10,5,1,1,1,1,1,10,9,3,2,26,5,6,,,,0,1,0,0,0,0,0,1,0,0,0,0,1
11283852607,252761849,1/18/2020 16:53,8,10,10,10,1,1,1,0,1,6,6,3,2,24,5,5,,,,0,1,0,0,0,0,0,1,0,1,0,0,1
11283850820,252761849,1/18/2020 16:51,8,5,6,7,0,0,1,0,0,11,6,,2,24,5,5,,,,0,1,0,0,1,0,0,1,0,1,0,0,1
11283850793,252761849,1/18/2020 16:51,3,7,8,6,1,1,1,0,1,6,5,4,2,26,4,4,,,,0,1,0,0,0,0,0,1,0,0,0,0,1
11283850256,252761849,1/18/2020 16:51,7,8,6,8,1,0,1,1,0,6,8,5,2,24,5,3,,,,1,0,0,0,0,0,0,1,0,1,0,1,0
11283849157,252761849,1/18/2020 16:49,7,8,5,4,1,0,1,0,1,8,4,4,2,22,5,5,,,,1,0,0,0,0,0,0,1,0,1,0,1,0
11283848981,252761849,1/18/2020 16:49,8,5,10,10,0,0,1,0,0,11,7,2,2,25,4,5,,,,1,0,0,0,0,0,0,1,0,1,0,1,0
11283848424,252761849,1/18/2020 16:49,3,4,6,8,1,0,1,0,1,6,9,5,4,56,5,5,,,,1,0,0,0,0,0,0,1,0,1,0,1,0
11283848127,252761849,1/18/2020 16:48,7,9,6,8,1,0,0,0,0,8,9,3,2,29,6,5,,,,1,0,0,0,0,0,0,1,0,1,0,1,0
11283846753,252761849,1/18/2020 16:47,10,9,9,10,1,1,1,1,1,6,9,4,2,25,7,5,,,,1,0,0,0,0,0,0,1,0,1,0,1,0
11283846674,252761849,1/18/2020 16:46,10,10,10,5,0,0,1,0,0,2,10,4,3,36,7,5,,,,0,1,0,0,0,0,0,1,0,1,0,0,1
11283846671,252761849,1/18/2020 16:46,8,6,8,5,0,1,1,0,1,2,6,7,3,39,4,5,,,,0,1,0,0,0,0,0,1,0,0,0,0,1
11283846403,252761849,1/18/2020 16:46,8,7,9,6,0,0,0,0,1,11,10,3,4,55,4,5,,,,1,0,0,0,0,0,0,1,0,1,0,1,0
11283846378,252761849,1/18/2020 16:46,4,5,5,5,1,0,0,0,0,8,4,2,4,54,4,5,,,,1,0,0,0,0,0,0,1,0,0,0,1,0
11283845417,252761849,1/18/2020 16:45,10,6,10,3,0,0,1,0,0,10,5,3,2,24,5,3,,,,0,1,0,0,0,0,0,1,0,0,0,0,1
11283845121,252761849,1/18/2020 16:45,6,8,8,7,0,0,1,0,0,12,8,2,4,57,4,5,,,,0,1,0,0,0,0,0,1,0,0,0,0,1
11283844952,252761849,1/18/2020 16:45,10,7,8,7,1,1,1,0,0,2,10,4,3,30,7,5,,,,0,1,0,0,0,0,0,1,0,1,0,0,1
11283844486,252761849,1/18/2020 16:44,7,5,9,7,0,0,0,0,1,8,8,2,4,48,4,5,,,,0,1,0,0,0,0,0,1,0,1,0,0,1
11283844262,252761849,1/18/2020 16:44,8,7,10,8,0,0,1,0,0,11,7,4,2,24,4,5,,,,0,1,0,0,0,0,0,1,0,1,0,0,1
11283843790,252761849,1/18/2020 16:43,10,8,6,7,0,0,0,0,1,6,4,3,2,22,4,5,,,,1,0,0,0,0,0,0,1,0,0,0,1,0
11283843545,252761849,1/18/2020 16:43,3,8,6,4,0,1,1,0,0,10,1,2,3,40,7,5,,,,0,1,0,0,0,0,0,1,0,1,0,0,1
11283842648,252761849,1/18/2020 16:43,10,9,10,10,1,0,0,0,0,2,7,3,2,26,3,5,,,,0,1,0,0,0,0,0,1,0,1,0,0,1
11283841785,252761849,1/18/2020 16:41,10,6,8,10,1,0,1,0,1,6,7,5,2,27,5,2,,,,1,0,0,0,0,0,0,1,0,0,0,1,0
11283840790,252761849,1/18/2020 16:40,6,2,2,8,0,1,0,1,1,6,3,7,2,25,5,5,,,,1,0,0,0,0,0,0,1,0,1,0,1,0
11283839880,252761849,1/18/2020 16:39,10,10,10,2,1,0,0,0,0,10,4,2,2,21,3,5,,,,0,1,0,0,0,0,0,1,0,0,1,0,1
11283839277,252761849,1/18/2020 16:38,10,10,5,5,1,1,1,0,0,5,6,6,2,24,5,3,,,,0,1,0,0,0,0,0,1,0,0,0,0,1
11283837410,252761849,1/18/2020 16:36,7,8,7,6,1,1,1,0,0,12,3,3,3,31,5,3,,,,1,0,0,0,0,0,0,1,0,1,0,1,0
11283836681,252761849,1/18/2020 16:35,3,6,7,6,0,1,1,0,1,8,9,4,3,43,5,5,,,,0,1,0,0,0,0,0,1,0,0,0,0,1
11283836552,252761849,1/18/2020 16:35,10,10,7,1,0,0,0,0,0,10,6,4,3,35,3,5,,,,0,1,0,0,0,0,0,1,0,0,1,0,1
11283835213,252761849,1/18/2020 16:33,3,3,7,6,1,1,0,0,1,5,7,2,2,26,7,5,,,,1,0,0,0,0,0,0,1,0,1,0,1,0
11283834267,252761849,1/18/2020 16:33,10,10,10,5,0,0,0,0,1,5,7,4,2,24,4,5,,,,0,1,0,0,0,0,0,1,0,0,0,0,1
11283834076,252761849,1/18/2020 16:32,6,6,6,6,1,0,0,0,0,1,5,3,2,25,6,2,,,,1,0,0,0,0,0,0,1,0,0,0,1,0
11283832701,252761849,1/18/2020 16:31,5,6,8,5,0,0,0,0,0,11,5,4,2,29,4,5,,,,0,1,0,0,0,0,0,1,0,1,0,0,1
11283832696,252761849,1/18/2020 16:31,8,9,7,8,0,1,0,0,0,10,6,4,3,33,5,6,,,,1,0,0,0,0,0,0,1,0,1,0,1,0
11283831451,252761849,1/18/2020 16:29,5,7,8,4,1,1,1,0,0,10,10,4,2,23,5,4,,,,0,1,0,0,0,0,0,1,0,0,1,0,1
11283828935,252761849,1/18/2020 16:27,10,10,10,10,1,1,1,0,1,6,8,8,3,31,5,5,,,,1,0,0,0,0,0,0,1,0,1,0,1,0
11283828865,252761849,1/18/2020 16:26,6,5,5,6,0,0,0,0,0,6,5,3,2,19,4,2,,,,1,0,0,0,0,0,0,1,0,0,1,1,0
11283828723,252761849,1/18/2020 16:26,4,4,9,9,0,0,0,0,0,5,7,2,4,51,7,5,,,,1,0,0,0,0,0,0,1,0,0,0,1,0
11283827887,252761849,1/18/2020 16:25,8,8,6,5,0,1,0,0,0,6,8,4,2,29,5,2,,,,0,1,0,0,0,0,0,1,0,0,0,0,1
11283826591,252761849,1/18/2020 16:24,2,6,9,3,0,1,1,0,0,10,2,3,2,26,5,5,,,,0,1,0,0,0,0,0,1,0,0,1,0,1
11283826395,252761849,1/18/2020 16:24,6,5,5,6,0,1,0,0,0,6,5,5,2,23,5,5,,,,1,0,0,0,0,0,0,1,0,0,0,1,0
11283826265,252761849,1/18/2020 16:24,3,5,10,8,0,1,0,0,0,10,6,2,4,46,4,5,,,,0,1,0,0,0,0,0,1,0,0,0,0,1
11283826247,252761849,1/18/2020 16:24,8,5,7,6,0,0,0,1,1,11,7,3,2,20,4,4,,,,0,1,0,0,0,0,0,1,0,1,0,0,1
11283825348,252761849,1/18/2020 16:22,7,8,7,8,1,1,1,0,1,3,6,3,2,24,4,5,,,,0,1,0,0,0,0,0,1,0,0,0,0,1
11283825161,252761849,1/18/2020 16:22,7,7,6,6,1,0,0,0,1,8,6,3,3,42,4,5,,,,1,0,0,0,0,0,0,1,0,1,0,1,0
