Respondent ID,Collector ID,CompletionTimeMinutes,End Date,FavorEntryLevel,FavorConventionalSoon,FavorOnlineEducation,FavorAI,HeardOfUdacity,HeardOfUdemy,HeardOfCoursera,HeardOfPluralsight,HeardOfLynda,Industry,FavorRegulation,ReportedIncome,ReportedAge,ReportedExactAge,Education,Ethnicity,Personality_Grit,Covid,FavorReligion,FavorAmerican,State,IsReportedMale,IsReportedFemale,IsReportedNonbinary,IsUnreportedGender,IsReportedIncomePreferNotDisclose,IsManager,IsUnemployed,IsStem,IsNotStem,IsUnsureStem,IsUnreportedStem,IsMale,IsFemale,Personality_Openness,Personality_Conscientiousness,Personality_Extraversion,Personality_Agreeableness,Personality_Neuroticism,Personality_IsInvalid
11516451693,258604317,12,4/18/2020 15:52,7,8,9,4,0,0,1,0,0,6,7,3,3,33,5,5,390,2,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,75,46,4,87.5,40,0
11516446680,258604317,8,4/18/2020 15:48,8,9,9,1,0,0,0,0,0,10,6,4,3,39,4,5,270,4,,,,0,1,0,0,0,0,1,0,0,0,1,0,1,71,73,0,79,46,0
11516445039,258604317,7,4/18/2020 15:47,9,8,9,8,0,1,1,0,0,8,9,4,4,50,3,5,370,3,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,85,75,50,73,21,0
11516443686,258604317,6,4/18/2020 15:46,8,7,8,8,1,1,1,0,1,10,8,5,3,36,5,5,330,2,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,81,73,4,77,98,0
11516443372,258604317,6,4/18/2020 15:46,10,10,10,10,0,1,0,0,0,4,10,5,3,43,5,5,480,4,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,71,100,75,92,8,0
11516442981,258604317,5,4/18/2020 15:45,9,7,5,7,0,0,0,0,1,11,8,3,3,31,3,5,310,3,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,69,77,33,58,31,0
11516442389,258604317,5,4/18/2020 15:45,8,7,9,8,0,0,0,0,1,3,8,7,3,41,5,5,220.00000000000003,3,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,29,46,54,79,46,0
11516451547,258604317,11,4/18/2020 15:52,10,8,8,8,1,0,1,0,0,6,8,4,4,47,7,5,300,2,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,71,71,25,67,67,0
11516448291,258604317,8,4/18/2020 15:49,9,10,3,8,1,0,0,0,0,10,9,4,3,43,3,5,300,3,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,81,85,52,56,56,0
11516446527,258604317,7,4/18/2020 15:48,10,10,10,8,1,1,0,0,1,6,6,2,4,54,1,5,400,1,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,69,40,8,83,12.5,0
11516445762,258604317,6,4/18/2020 15:47,10,10,10,8,0,0,0,0,0,10,7,2,4,45,3,5,500,1,,,,1,0,0,0,0,0,1,0,0,0,1,1,0,67,100,60,65,0,0
11516443227,258604317,5,4/18/2020 15:46,8,7,9,6,0,1,0,0,0,6,10,5,3,36,5,5,300,2,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,79,52,65,67,44,0
11516442683,258604317,4,4/18/2020 15:45,1,6,8,8,0,1,1,1,0,6,10,7,3,35,5,5,390,3,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,44,87,4,73,75,0
11516448644,258604317,8,4/18/2020 15:50,6,5,5,3,1,1,0,0,1,4,4,2,4,60,4,5,360,3,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,79,69,56,79,17,0
11516445109,258604317,5,4/18/2020 15:47,7,6,7,7,0,0,0,0,0,6,10,9,2,27,5,5,440.00000000000006,3,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,100,67,50,50,12.5,0
11516444909,258604317,5,4/18/2020 15:47,3,6,8,8,1,0,1,0,1,6,8,3,3,36,4,5,490.00000000000006,2,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,67,83,92,67,27,0
11516452925,258604317,10,4/18/2020 15:53,8,8,10,9,0,1,1,0,1,12,9,3,4,53,5,5,310,5,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,,,,,,1
11516447019,258604317,5,4/18/2020 15:48,6,8,6,9,1,1,1,0,0,6,6,10,3,36,5,2,440.00000000000006,1,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,73,60,48,52,8,0
11516466184,258604317,18,4/18/2020 16:03,9,10,9,7,0,0,0,0,1,5,10,2,5,69,4,5,390,3,,,,0,1,0,0,0,0,1,0,0,0,1,0,1,92,81,62.5,87.5,12.5,0
11516458247,258604317,12,4/18/2020 15:57,7,9,7,6,0,0,0,0,0,12,10,4,4,52,4,5,440.00000000000006,3,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,62,79,85,77,2,0
11516451676,258604317,6,4/18/2020 15:52,3,2,10,2,0,0,1,0,1,10,1,8,4,55,5,5,310,2,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,56,77,37.5,71,69,0
11516486356,258604317,31,4/18/2020 16:18,10,10,10,10,0,1,1,0,1,6,10,8,3,44,4,5,380,3,,,,1,0,0,0,0,1,0,0,0,0,1,1,0,100,92,79,92,23,0
11516458532,258604317,10,4/18/2020 15:57,5,8,10,7,0,0,0,0,0,10,8,6,3,41,4,5,310,1,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,56,90,69,35,71,0
11516448562,258604317,2,4/18/2020 15:50,4,4,9,9,0,0,0,0,1,2,2,3,5,48,7,5,380,2,,,,0,1,0,0,0,1,0,0,0,0,1,0,1,60,83,77,67,27,0
11516456673,258604317,7,4/18/2020 15:56,8,6,9,10,1,0,0,0,0,10,4,8,3,36,7,5,470,3,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,90,96,100,90,0,0
11516454845,258604317,5,4/18/2020 15:54,10,8,7,10,0,0,0,0,1,10,5,4,2,27,4,5,430,0,,,,1,0,0,0,0,0,0,0,0,0,1,1,0,77,87.5,15,69,10,0
11516460624,258604317,9,4/18/2020 15:59,10,3,10,8,0,0,0,0,0,4,3,3,5,61,5,5,420,2,,,,0,1,0,0,0,0,0,0,0,0,1,0,1,81,71,35,65,23,0
