"RespondentID","CollectorID","CompletionTimeMinutes","EndDate","FavorEntryLevel","FavorConventionalSoon","FavorOnlineEducation","FavorAI","FavorCrypto","FavorAmerican","HeardOfUdacity","HeardOfUdemy","HeardOfCoursera","HeardOfPluralsight","HeardOfLynda","Industry","FavorReligion","FavorChristianity","FavorRegulation","SurveyMonkeyAge","SurveyMonkeyIncome","SurveyMonkeyRegion","IsSurveyMonkeyMale","IsSurveyMonkeyFemale","IsSurveyMonkeyUnreportedGender","IsSurveyMonkeyIncomePreferNotDisclose","IsManager","IsUnemployed","IsStem","IsNotStem","IsUnsureStem","IsUnreportedStem","IsMale","IsFemale","ReportedIncome","ReportedAge","IsReportedMale","IsReportedFemale","IsReportedNonbinary","IsUnreportedGender","IsReportedIncomePreferNotDisclose","Education","Ethnicity","ReportedExactAge","Personality_Grit","Covid","State","Personality_Openness","Personality_Conscientiousness","Personality_Extraversion","Personality_Agreeableness","Personality_Neuroticism","Personality_IsInvalid"
"10551838014","226270653","1","2/24/2019 17:24","7","3","8","1","","","1","0","0","0","0","4","","","4","","","","0","0","1","0","0","0","","","","","1","0","6","4","1","0","0","0","0","","","","","","","","","","","",""
"10551841509","226270653","1","2/24/2019 17:27","9","10","10","8","","","1","0","1","0","0","6","","","3","","","","0","0","1","0","0","0","","","","","1","0","10","3","1","0","0","0","0","","","","","","","","","","","",""
"10551845858","226270653","1","2/24/2019 17:32","8","7","10","9","","","1","1","0","0","0","10","","","6","","","","0","0","1","0","1","0","","","","","0","1","10","2","0","1","0","0","0","","","","","","","","","","","",""
"10551859648","226270653","2","2/24/2019 17:45","1","6","6","2","","","1","0","0","0","0","2","","","6","","","","0","0","1","0","0","0","","","","","0","1","6","3","0","1","0","0","0","","","","","","","","","","","",""
"10551860879","226272122","","2/24/2019 17:46","1","7","7","7","","","1","1","0","0","0","6","","","2","3","3","2","0","1","0","0","1","0","","","","","0","1","3","3","0","1","0","0","0","","","","","","","","","","","",""
"10551855812","226270653","1","2/24/2019 17:41","8","3","5","4","","","1","0","1","1","1","2","","","6","","","","0","0","1","0","0","0","","","","","0","1","6","2","0","1","0","0","0","","","","","","","","","","","",""
"10551861009","226272122","","2/24/2019 17:46","8","5","5","8","","","1","0","1","0","0","2","","","3","3","10","2","1","0","0","0","1","0","","","","","1","0","5","3","1","0","0","0","0","","","","","","","","","","","",""
"10551861052","226272122","","2/24/2019 17:46","8","8","9","8","","","0","0","0","1","0","7","","","8","2","4","2","1","0","0","0","1","0","","","","","1","0","4","2","1","0","0","0","0","","","","","","","","","","","",""
"10551861473","226272122","1","2/24/2019 17:47","5","3","5","8","","","1","0","0","0","0","10","","","5","2","1","2","0","1","0","0","1","0","","","","","0","1","1","2","0","1","0","0","0","","","","","","","","","","","",""
"10551861478","226272122","1","2/24/2019 17:47","6","8","6","10","","","1","1","1","1","1","2","","","5","2","2","9","0","1","0","0","0","0","","","","","0","1","2","2","0","1","0","0","0","","","","","","","","","","","",""
"10551861627","226272122","1","2/24/2019 17:47","1","1","1","1","","","1","0","0","0","0","1","","","1","3","1","9","1","0","0","0","0","1","","","","","1","0","1","3","1","0","0","0","0","","","","","","","","","","","",""
"10551861759","226272122","1","2/24/2019 17:47","3","4","8","5","","","1","1","0","0","0","5","","","5","4","","5","0","1","0","1","0","0","","","","","0","1","3","4","0","1","0","0","0","","","","","","","","","","","",""
