Do you contribute to hiring and firing decisions at your company?,How likely is it that you would recommend alternative education to a friend or colleague?,How likely is it that you would recommend a traditional bachelor's degree to a friend or colleague?,"For many professions, alternative credentials can qualify a person for an entry-level position.",Which of these industries most closely matches your profession?,Gender?,Household Income?,Age?,What is the highest level of education you have completed?,Which race/ethnicity best describes you? (Please choose only one.),hasnochildren,hasjustonechild,hasmultiplechildren,haschildreninhighschool,haschildrenunderhighschool,haschildrenincollege,isstudent,How many of the three articles contained information you were previously unaware of?,I completed this portion of the Codecademy Intro to HTML lesson,POST Recommend Alternative Education,POST Recommend Traditional Education,"In 2 or more sentences, please explain your selection on ""How likely is it that you would recommend alternative education to a friend or colleague?"" Include why your score did or did not change after completing the exercises.",commentquality,commenttheme,"For many professions, alternative credentials can qualify a person for an entry-level position.",Age,Gender,Household Income,Region,Device Type
2,5,6,7,2,2,4,2,4,5,1,,,,,,,100,1,6,4,All,1,,6,2,1,3,3,1
1,5,4,5,5,2,5,3,8,2,,2,,4,,,,8,2,4,3,Fddd,1,,6,2,1,6,9,1
1,7,9,9,9,2,6,3,7,5,1,,,,,,,1,3,7,9,some people cant afford school,3,Affordability,8,3,1,6,6,2
2,4,10,5,4,2,4,2,5,5,1,,,,,,7,100,1,5,10,"Alternative education is a good way to start, but I believe traditional education gives people more opportunities. I believe everyone should get the highest education they can, if possible.",4,Maximize Education,5,2,1,2,8,1
2,5,10,10,10,2,5,3,7,5,,2,,,,,,0,1,5,10,eh,1,,5,3,1,5,8,2
2,0,0,10,11,2,11,2,4,3,1,,,,,,7,0,1,0,0,I wouldn't. Because I wouldn't,2,,10,2,1,11,7,2
1,6,8,6,10,1,3,2,7,5,1,,,,,,,31,3,5,7,unsure,2,,4,2,2,3,3,2
1,5,0,10,6,2,6,2,4,6,1,,,,,,,1,2,5,0,it varies on your own personal goals. if your self motivated and the field of work you are in,3,Motivation,10,2,1,5,5,2
1,7,8,5,4,2,5,2,6,2,,,,,5,,,3,2,5,5,it's thought to find time to do this if there are no Stokes that involve money or time,3,Convenience,6,2,1,6,2,2
2,5,5,5,3,2,11,1,6,5,1,,,,,,7,50,3,8,4,Bdjfkrm,1,,5,2,1,11,1,1
2,5,10,1,10,1,4,2,3,5,1,,,,,,,75,2,7,9,"If that is the best route for them, then that is the best route.",2,,1,2,2,2,8,2
3,3,7,8,10,2,1,3,5,5,1,,,,,,,2,1,3,7,I just don’t think alternative education has much weight to it,2,,4,3,1,1,2,1
1,7,9,7,2,1,4,2,4,3,,2,,,,,,1,2,8,7,depends how my friend was homeschooled or public school. I don't know i might have to look into it more,2,,5,2,1,1,3,2
1,8,7,9,10,2,7,3,7,2,,2,,,,,,38,2,9,8,very likely. ｉjust like,2,,9,3,1,8,9,1
2,6,6,4,2,2,4,2,7,4,,,3,,,,,0,2,8,9,not really likely,2,,6,2,1,3,7,2
2,4,6,4,10,1,11,2,5,5,1,,,,,,,3,1,5,6,"I don’t have experience with alternative education so I wouldn’t necessarily recommend it. However, the articles help me form a more favorable option of alternative education.",3,PopularityFamiliarity,8,2,2,11,2,1
2,10,10,10,11,1,3,3,5,5,1,,,,,,,0,1,10,10,"I think that all education is valuable and that because people learn in many different ways, formal and alternative education are equally important. If people only went to formal schooling in a college atmosphere, we wouldn't have electricians or plumbers or mechanics. All of these are extremely important in our society.",4,SkillsTrades,10,3,2,4,2,2
2,3,7,7,2,1,6,3,7,5,,2,,,,,,14,2,5,7,I think there needs to be other forms of training besides traditional degrees. But degrees are still required by most companies so it’s hard to stay competitive.,4,EmployabilityEarnings,6,3,2,6,6,1
3,9,10,10,2,1,5,3,7,5,,,3,4,,,,64,3,10,7,I do recommend alternative education because you you can study from your home by e learning.,4,Convenience,10,3,2,4,3,1
2,1,8,3,2,1,11,2,5,5,1,,,,,,,3,1,5,8,it is somewhat likely that i would recommend alternative education to a friend because it is more affordable.,4,Affordability,5,2,2,2,5,2
2,5,5,5,2,1,4,3,1,5,,,3,,5,,,39,1,5,5,no change,2,,6,3,2,4,5,2
