,start_date,end_date,hirability,expected_conventionality,favor_online_ed,expected_duration,familiarity_coursera,familiarity_edx,familiarity_linkedinlearning,familiarity_pluralsight,familiarity_udacity,familiarity_udemy,rulebreakers_risky,rulebreakers_culture_value,rulebreakers_mixed_bag,manager_effects,job_title,job_title_credentials,firm_size,industry,other_industry,is_prefer_college_peer,state,gender,income,age,education,ethnicity,grit,ocean,favor_programming_career,favor_seeking_risk,worldview_continuous_pro_innovation,worldview_continuous_pro_regulation,worldview_continuous_pro_foreign,worldview_description,worldview_continuous_activism,covid_impact,covid_remote,covid_fav_online,school_hirability_,school_hirability_1,school_hirability_2,school_hirability_3,school_hirability_4,school_hirability_5,school_hirability_6,school_hirability_7,skill_physical_attractiveness_ideal_job_applicant,skill_physical_attractiveness_typical_employee_at_my_company,skill_physical_attractiveness_recent_college_graduate,skill_physical_attractiveness_ngwac,skill_emotional_intelligence_ideal_job_applicant,skill_emotional_intelligence_typical_employee_at_my_company,skill_emotional_intelligence_recent_college_graduate,skill_emotional_intelligence_ngwac,skill_salary_required_by_an_ideal_job_applicant,skill_salary_required_by_a_typical_employee_at_my_company,skill_salary_required_by_a_recent_college_graduate,skill_salary_required_by_a_ngwac,skill_written_communication_skill_ideal_job_applicant,skill_written_communication_skill_typical_employee_at_my_company,skill_written_communication_skill_recent_college_graduate,skill_written_communication_skill_ngwac,skill_verbal_communication_skill_ideal_job_applicant,skill_verbal_communication_skill_typical_employee_at_my_company,skill_verbal_communication_skill_recent_college_graduate,skill_verbal_communication_skill_ngwac,skill_body_language_communication_skill_ideal_job_applicant,skill_body_language_communication_skill_typical_employee_at_my_company,skill_body_language_communication_skill_recent_college_graduate,skill_body_language_communication_skill_ngwac,skill_technical_job_skills_ideal_job_applicant,skill_technical_job_skills_typical_employee_at_my_company,skill_technical_job_skills_recent_college_graduate,skill_technical_job_skills_ngwac,skill_conscientiousness_ideal_job_applicant,skill_conscientiousness_typical_employee_at_my_company,skill_conscientiousness_recent_college_graduate,skill_conscientiousness_ngwac,skill_break_rules_ideal_job_applicant,skill_break_rules_typical_employee_at_my_company,skill_break_rules_recent_college_graduate,skill_break_rules_ngwac,skill_customer_service_skill_ideal_job_applicant,skill_customer_service_skill_typical_employee_at_my_company,skill_customer_service_skill_recent_college_graduate,skill_customer_service_skill_ngwac,skill_teamwork_ideal_job_applicant,skill_teamwork_typical_employee_at_my_company,skill_teamwork_recent_college_graduate,skill_teamwork_ngwac,skill_commute_ideal_job_applicant,skill_commute_typical_employee_at_my_company,skill_commute_recent_college_graduate,skill_commute_ngwac,skill_work_odd_hours_or_a_strange_schedule_ideal_job_applicant,skill_work_odd_hours_or_a_strange_schedule_typical_employee_at_my_company,skill_work_odd_hours_or_a_strange_schedule_recent_college_graduate,skill_work_odd_hours_or_a_strange_schedule_ngwac,personality_o,personality_c,personality_e,personality_a,personality_n,familiarity_count,is_large_firm_size,is_serious,is_tech,school_unaccredited_hirability,school_self_impressed,school_other_impressed
1,10/9/2021 16:55,10/9/2021 16:58,10,10,10,Under a year,Coursera,edX,LinkedIn Learning,Pluralsight,Udacity,Udemy,7,7,8,No,Na,"Yes. Certification, license, or other non-degree credentials are an industry norm.","1,001-5,000",Information Technology,,1.0,California,Female,"125,000-149,999",35-44,Obtained Undergraduate Degree,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,True,True,True,,,
2,10/9/2021 15:31,10/9/2021 16:00,8,8,9,Under 3 months,,,,,Udacity,Udemy,8,7,9,Yes,,"Yes. Certification, license, or other non-degree credentials are an industry norm.",51-200,Information Technology,,1.0,Virginia,Male,"75,000-99,999",25-34,Obtained Undergraduate Degree,Hispanic or Latino,3.0,"67,58,50,67,60",8.0,7.0,7.0,9.0,8.0,"Spiritual or Theistic, No Specific Religion",8.0,Moderate negative impact,Slight degree,Moderate degree,3.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,8.0,8.0,7.0,8.0,9.0,8.0,10.0,8.0,6.0,7.0,7.0,7.0,9.0,8.0,8.0,7.0,9.0,7.0,8.0,7.0,9.0,8.0,9.0,7.0,9.0,8.0,9.0,7.0,8.0,9.0,7.0,7.0,9.0,9.0,8.0,10.0,6.0,8.0,7.0,9.0,8.0,6.0,7.0,7.0,9.0,8.0,7.0,8.0,8.0,9.0,7.0,6.0,67.0,58.0,50.0,67.0,60.0,2,False,True,True,15.0,16.0,16.0
3,10/9/2021 15:39,10/9/2021 15:51,8,6,8,Under a month,,,LinkedIn Learning,Pluralsight,,Udemy,7,8,7,Yes,COMPUTER TECHNICIAN,"Yes. Certification, license, or other non-degree credentials are required by law.",201-500,Information Technology,,1.0,Michigan,Male,"25,000-49,999",25-34,Obtained Undergraduate Degree,White or Caucasian,3.2,"50,46,58,56,54",7.0,8.0,7.0,6.0,8.0,Conservative or Evangelical Christian,5.0,Moderate negative impact,Slight degree,Moderate degree,8.0,7.0,8.0,7.0,8.0,7.0,8.0,7.0,8.0,7.0,6.0,7.0,8.0,6.0,7.0,8.0,7.0,6.0,7.0,8.0,6.0,7.0,8.0,6.0,7.0,7.0,8.0,6.0,7.0,8.0,6.0,7.0,8.0,6.0,7.0,8.0,7.0,6.0,7.0,8.0,6.0,8.0,7.0,8.0,7.0,6.0,7.0,8.0,7.0,6.0,8.0,7.0,6.0,8.0,6.0,7.0,8.0,6.0,8.0,6.0,50.0,46.0,58.0,56.0,54.0,3,False,True,True,30.0,30.0,28.0
4,10/9/2021 15:15,10/9/2021 15:36,9,8,8,Under a month,Coursera,edX,,,Udacity,Udemy,8,9,8,Yes,COMPUTER TECHNICIAN,"Yes. Certification, license, or other non-degree credentials are required by law.","501-1,000",Information Technology,,1.0,Michigan,Male,"50,000-74,999",25-34,Obtained Undergraduate Degree,White or Caucasian,4.2,"62.5,60,62.5,73,62.5",9.0,8.0,8.0,8.0,9.0,Conservative or Evangelical Christian,8.0,Moderate negative impact,Moderate degree,Slight degree,8.0,9.0,6.0,7.0,6.0,7.0,4.0,6.0,7.0,8.0,5.0,6.0,4.0,7.0,5.0,6.0,7.0,8.0,5.0,6.0,7.0,5.0,4.0,7.0,5.0,6.0,8.0,5.0,6.0,7.0,4.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,6.0,8.0,5.0,7.0,6.0,8.0,6.0,7.0,8.0,6.0,7.0,6.0,7.0,8.0,6.0,7.0,5.0,7.0,6.0,6.0,8.0,5.0,62.5,60.0,62.5,73.0,62.5,4,True,True,True,30.0,23.0,29.0
5,10/9/2021 14:41,10/9/2021 15:35,7,8,7,Under a month,,,,,,Udemy,6,6,6,Yes,Manager,"No. I do not know of any credentials which are common, valued, or legally required in that line of work.","1,001-5,000",Information Technology,,1.0,Ohio,Male,"50,000-74,999",45-54,Some Graduate School,White or Caucasian,3.3,"62.5,56,58,58,52",6.0,7.0,6.0,6.0,5.0,Other Christian,6.0,Moderate negative impact,Moderate degree,Moderate degree,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,4.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,4.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,62.5,56.0,58.0,58.0,52.0,1,True,True,True,22.0,22.0,20.0
6,10/9/2021 15:02,10/9/2021 15:24,10,10,10,More than a year,Coursera,,,,Udacity,Udemy,8,4,7,No,,Not Applicable,Nov-50,Law,,0.0,Virginia,Female,"10,000-24,999",45-54,Some College,White or Caucasian,3.2,"69,65,52,69,56",7.0,6.0,8.0,6.0,7.0,Agnostic or Atheist,3.0,Large negative impact,Large degree,No increase (or a decrease),5.0,5.0,3.0,6.0,3.0,5.0,3.0,1.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,7.0,7.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,10.0,10.0,9.0,9.0,6.0,6.0,6.0,7.0,10.0,9.0,8.0,7.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,69.0,65.0,52.0,69.0,56.0,3,False,True,False,19.0,13.0,17.0
7,10/9/2021 14:45,10/9/2021 15:20,8,9,7,Under 6 months,Coursera,edX,LinkedIn Learning,,Udacity,Udemy,7,6,7,No,ADMINISTRATION MANAGER,"Yes. Certification, license, or other non-degree credentials are an industry norm.","1,001-5,000",Manufacturing,,1.0,North Carolina,Male,"50,000-74,999",45-54,Obtained Undergraduate Degree,White or Caucasian,4.0,"62.5,71,73,73,29",9.0,10.0,8.0,9.0,8.0,Progressive Christian,8.0,Slight negative impact,Moderate degree,Large degree,6.0,8.0,7.0,9.0,7.0,8.0,8.0,1.0,8.0,9.0,9.0,7.0,8.0,8.0,9.0,7.0,8.0,9.0,7.0,5.0,9.0,9.0,9.0,7.0,10.0,10.0,9.0,7.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,7.0,8.0,7.0,6.0,8.0,9.0,7.0,6.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,62.5,71.0,73.0,73.0,29.0,5,True,True,False,30.0,25.0,26.0
8,10/9/2021 14:56,10/9/2021 15:01,9,10,6,Under 6 months,,edX,LinkedIn Learning,Pluralsight,Udacity,Udemy,9,6,5,Yes,market research,"Yes. Certification, license, or other non-degree credentials are an industry norm.",51-200,"Finance, Investment, or Accounting",,1.0,Ohio,Male,"50,000-74,999",35-44,Some Graduate School,White or Caucasian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,False,True,False,,,
9,10/9/2021 14:43,10/9/2021 14:55,6,2,5,Under a year,Coursera,,,,,,5,6,6,Yes,communications officer,"No. I do not know of any credentials which are common, valued, or legally required in that line of work.","1,001-5,000",Health,,1.0,Maryland,Female,"200,000+",45-54,Obtained Non-Doctoral Graduate Degree,White or Caucasian,3.9,"65,79,56,50,54",5.0,7.0,9.0,9.0,9.0,Agnostic or Atheist,2.0,Moderate negative impact,Large degree,Slight degree,9.0,6.0,8.0,4.0,8.0,3.0,7.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,8.0,7.0,6.0,4.0,8.0,7.0,4.0,3.0,8.0,7.0,5.0,4.0,8.0,7.0,5.0,4.0,8.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,7.0,6.0,5.0,4.0,8.0,7.0,6.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,65.0,79.0,56.0,50.0,54.0,1,True,True,False,27.0,21.0,15.0
10,10/9/2021 14:22,10/9/2021 14:44,5,8,9,Under 6 months,Coursera,,,,Udacity,Udemy,2,8,5,No,Computer Technician,"Yes. Certification, license, or other non-degree credentials are an industry norm.",10-Jan,Information Technology,,0.0,Tennessee,Male,"75,000-99,999",45-54,Some College,White or Caucasian,4.3,"62,92,46,83,4",5.0,2.0,9.0,7.0,8.0,"Religious, Not Christian",2.0,Slight negative impact,Moderate degree,Large degree,9.0,6.0,8.0,3.0,5.0,2.0,4.0,10.0,3.0,3.0,2.0,2.0,9.0,10.0,8.0,9.0,6.0,6.0,5.0,4.0,9.0,9.0,10.0,10.0,8.0,9.0,8.0,8.0,7.0,9.0,7.0,6.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,3.0,5.0,3.0,3.0,8.0,8.0,5.0,5.0,10.0,8.0,9.0,9.0,5.0,3.0,5.0,5.0,8.0,4.0,9.0,9.0,62.0,92.0,46.0,83.0,4.0,3,False,True,True,26.0,25.0,21.0
