HITId,HITTypeId,Title,Description,WorkerId,UPDATE-Took-Alt-Ed-Matching
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,AJRY9ALX8069Y,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A3HZFB2JLF3JMY,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A3D2GO0IFRFN6R,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A3NXT3OVGL7QNR,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A1Z27X99F97JSR,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A55CXM7QR7R0N,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A183WYXN12P2TJ,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A7N3J27F3IL6M,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A348NEQKS6VNIB,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A23CV7TIJ6FVNY,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A12FTSX85NQ8N9,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A1OW526V2AFRQL,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A2FUD7E9EN5DND,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A2N9U74YIPDQ9F,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A32HFMZVTLF1JG,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A387CYTD7EDNHX,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A3QRZPJT2CT2IK,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,AEMPODBEKHHV3,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,AQO6Q26A6VWCN,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A2JM5ZA5KT2EUJ,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A1Z1UU3QOS0V9F,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A213CX3NWZN0Z,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A3LGTCGKKWRYQW,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A30OGUUF0L3NLZ,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A1P3HHEXWNLJMP,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A3K9GTQBOI7O5A,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,ARB8SJAWXUWTD,1
3GKAWYFRAPTSNKE4JM5ZQDS00GEPD6,3U5YKSQWQD5T7U947QR2ZMO5ZFABLR,Answer a survey about your opinions on Alternatives to College,This survey asks your opinion on alternatives to college. It's designed to take about 15 minutes.,A1B5O1E2T429ET,1
