Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,has_responded,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",What is your age?,Which best describes your ethnicity?,"Do you believe that your last name reflects your ethnicity? For example, Smith identifies a white ethnicity, so if Maria Smith identifies as Hispanic, she should choose ""No.""","Please visit http://name-prism.com/ and type your name into the search box in the middle of the page. Click ""Get Ethnicity.""According to NamePrism, which best describes your ethnicity?",Which of these industries most closely matches your profession?,Age,Gender,Household Income,Region,Device Type
,,,,,,,,,,Response,,Open-Ended Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
10018305826,211103599,05/14/2018 11:10:13 AM,05/14/2018 11:11:45 AM,,,,,1fd608510ad1a6a76a4bcd06c1,True,No,Strongly Disagree,56,White,No,White,Transportation,45-60,Male,"$50,000-$74,999",Pacific,Other
10018263799,211103599,05/14/2018 10:48:00 AM,05/14/2018 10:49:39 AM,,,,,741edab07ea2a9d27d1b7b6d42,True,No,3,59,Black,Yes,White,Information Technology,45-60,Male,"$150,000-$174,999",West South Central,Windows Desktop / Laptop
10018258688,211103599,05/14/2018 10:43:50 AM,05/14/2018 10:46:55 AM,,,,,cb588e73a71bbfea4453f9841c,True,Unemployed,Strongly Agree,64,White,Yes,White,Other,> 60,Male,"$150,000-$174,999",Pacific,iOS Phone / Tablet
10018252385,211103599,05/14/2018 10:41:38 AM,05/14/2018 10:43:31 AM,,,,,297a5a1e916f05265f5107884a,True,No,4,31,Black,No,White,Retail,30-44,Male,"$0-$9,999",South Atlantic,Android Phone / Tablet
10018229414,211103599,05/14/2018 10:27:58 AM,05/14/2018 10:31:00 AM,,,,,96e320b2fb4ae698d30d56a63c,True,Yes,8,46,White,Yes,White,Education,45-60,Male,"$75,000-$99,999",East South Central,MacOS Desktop / Laptop
10018192083,211103599,05/14/2018 10:09:23 AM,05/14/2018 10:10:20 AM,,,,,0d8ff65b00d48810b4db2c4ba1,True,No,3,33,Black,No,White,Education,30-44,Male,Prefer not to answer,East North Central,Windows Desktop / Laptop
10018136911,211103599,05/14/2018 09:35:47 AM,05/14/2018 09:38:26 AM,,,,,30db98b5ecd1d111b26cf019f3,True,Yes,5,50,White,No,White,Transportation,45-60,Male,"$50,000-$74,999",East South Central,Windows Desktop / Laptop
10018133336,211103599,05/14/2018 09:35:16 AM,05/14/2018 09:36:25 AM,,,,,d6f564290502b36e8a538db23b,True,Yes,3,70,White,Yes,White,Health,> 60,Male,"$100,000-$124,999",Mountain,Windows Desktop / Laptop
10018099463,211103599,05/14/2018 09:15:31 AM,05/14/2018 09:16:52 AM,,,,,a7d78962da42d4d6d3366724b1,True,Unemployed,Strongly Agree,66,White,No,White,Other,> 60,Male,Prefer not to answer,West North Central,iOS Phone / Tablet
10018085058,211103599,05/14/2018 09:05:38 AM,05/14/2018 09:07:56 AM,,,,,b39cc60ecf9e447ba6b73c033a,True,No,Strongly Agree,37,White,Yes,White,Other,30-44,Male,"$100,000-$124,999",Pacific,Android Phone / Tablet
10018078166,211103599,05/14/2018 09:01:53 AM,05/14/2018 09:03:44 AM,,,,,2a1b47e552087bb5fab275595c,True,No,4,56,White,Yes,White,Information Technology,45-60,Male,"$200,000+",Middle Atlantic,Windows Desktop / Laptop
10017955916,211103599,05/14/2018 07:30:14 AM,05/14/2018 07:31:43 AM,,,,,292f982a50f285d4e2f9ce5e76,True,Unemployed,6,68,White,No,White,Other,> 60,Male,"$25,000-$49,999",New England,Windows Desktop / Laptop
10017954096,211103599,05/14/2018 07:27:16 AM,05/14/2018 07:30:00 AM,,,,,40627b8c89cb6cd9e42217e899,True,Yes,4,49,White,Yes,White,Information Technology,45-60,Male,"$200,000+",East North Central,iOS Phone / Tablet
10017949446,211103599,05/14/2018 07:24:36 AM,05/14/2018 07:25:35 AM,,,,,513ecc738fd8f3726b2713ff0a,True,No,4,63,White,No,White,Retail,> 60,Male,"$50,000-$74,999",Middle Atlantic,Windows Desktop / Laptop
10017907863,211103599,05/14/2018 06:43:26 AM,05/14/2018 06:44:18 AM,,,,,44c9b0755866f466649bac15a1,True,Unemployed,Strongly Agree,75,White,Yes,White,Law,> 60,Male,Prefer not to answer,South Atlantic,Other
10017860662,211103599,05/14/2018 05:56:56 AM,05/14/2018 05:57:41 AM,,,,,ae929c15f6dbeca31fc6bd6080,True,Yes,Strongly Agree,40,White,Yes,Hispanic,Military,30-44,Male,"$10,000-$24,999",Pacific,Android Phone / Tablet
10017771091,211103599,05/14/2018 04:06:56 AM,05/14/2018 04:11:01 AM,,,,,a5bfdd42ff347f53fcba59e91f,True,Yes,2,53,White,No,White,Education,45-60,Male,"$75,000-$99,999",Middle Atlantic,iOS Phone / Tablet
10017715294,211103599,05/14/2018 02:56:25 AM,05/14/2018 02:57:44 AM,,,,,517f5efb584bb40d0b0f6f4509,True,No,Strongly Disagree,40,White,No,White,Information Technology,30-44,Male,"$25,000-$49,999",West South Central,Windows Desktop / Laptop
10017649218,211103599,05/14/2018 12:51:19 AM,05/14/2018 12:54:35 AM,,,,,20380c19ae5b65024ea4336b04,True,No,6,67,White,Yes,White,Education,> 60,Male,"$100,000-$124,999",Pacific,iOS Phone / Tablet
10017636007,211103599,05/14/2018 12:22:16 AM,05/14/2018 12:27:29 AM,,,,,57191ea382f258b2e70c4b72bb,True,Yes,3,34,White,Yes,White,"Finance, Investment, or Accounting",30-44,Male,"$25,000-$49,999",West North Central,Android Phone / Tablet
