NamsorsNameWithoutInitialsLowerCased-country,NamsorsNameWithoutInitialsLowerCased-countryAlt,NamsorsNameWithoutInitialsLowerCased-countryFirstName,NamsorsNameWithoutInitialsLowerCased-countryLastName,NamsorsNameWithoutInitialsLowerCased-countryName,NamsorsNameWithoutInitialsLowerCased-ethno,NamsorsNameWithoutInitialsLowerCased-ethnoAlt,NamsorsNameWithoutInitialsLowerCased-gender,NamsorsNameWithoutInitialsLowerCased-geoCountry,NamsorsNameWithoutInitialsLowerCased-geoCountryAlt,NamsorsNameWithoutInitialsLowerCased-region,NamsorsNameWithoutInitialsLowerCased-script,NamsorsNameWithoutInitialsLowerCased-subRegion,NamsorsNameWithoutInitialsLowerCased-topRegion,sLinkedInUrliKairosAge,sLinkedInUrliKairosAsian,sLinkedInUrliKairosBlack,sLinkedInUrliKairosHispanic,sLinkedInUrliKairosMaleConfidence,sLinkedInUrliKairosOtherEthnicity,sLinkedInUrliKairosWhite
IN,IN,IN,IN,India,Indian,Pakistanese,male,IN,IN,Asia,LATIN,Southern Asia,Asia,,,,,,,
PT,GB,PT,GB,Portugal,Portuguese,HispanoLatino,male,PT,US,Europe,LATIN,Southern Europe,Europe,,,,,,,
FR,FR,TN,FR,France,Sudanese,Algerian,male,SD,DZ,Europe,LATIN,Western Europe,Europe,,,,,,,
ID,NL,NL,ID,Indonesia,Dutch,Jewish,male,NL,NL,Asia,LATIN,South-Eastern Asia,Asia,,,,,,,
IE,GB,LR,GB,Ireland,British,Irish,female,US,IE,Europe,LATIN,Northern Europe,Europe,,,,,,,
RU,BY,BY,RU,Russian Federation,Jewish,Belarussian,female,RU,BY,Europe,LATIN,Eastern Europe,Europe,,,,,,,
RU,RU,UA,RU,Russian Federation,Ukrainian,Jewish,male,UA,UA,Europe,LATIN,Eastern Europe,Europe,,,,,,,
NO,NO,AT,NO,Norway,German,Swiss,male,DE,CH,Europe,LATIN,Northern Europe,Europe,,,,,,,
CD,KE,CD,KE,Congo, Democratic Republic of the,Congolese (Kinshasa),German,male,CD,US,Africa,LATIN,Middle Africa,Africa,,,,,,,
GB,IN,KE,NO,United Kingdom of Great Britain and Northern Ireland,Kenyan,Chinese,male,KE,CN,Europe,LATIN,Northern Europe,Europe,,,,,,,
GB,IE,GE,GB,United Kingdom of Great Britain and Northern Ireland,Swedish,Jewish,male,US,GR,Europe,LATIN,Northern Europe,Europe,,,,,,,
GB,IE,UG,GB,United Kingdom of Great Britain and Northern Ireland,Irish,Irish,male,AU,NZ,Europe,LATIN,Northern Europe,Europe,,,,,,,
