Respondent ID,Collector ID,End Date,FavorEntryLevel,FavorConventionalSoon,FavorOnlineEducation,FavorAI,FavorCrypto,FavorAmerican,HeardOfUdacity,HeardOfUdemy,HeardOfCoursera,HeardOfPluralsight,HeardOfLynda,Industry,FavorReligion,FavorChristianity,FavorRegulation,SurveyMonkeyAge,SurveyMonkeyIncome,SurveyMonkeyRegion,IsSurveyMonkeyMale,IsSurveyMonkeyFemale,IsSurveyMonkeyUnreportedGender,IsManager,IsUnemployed,IsStem,IsNotStem,IsUnsureStem,IsUnreportedStem,IsMale,IsFemale
6948040112,175020213,10/10/2018 04:42:44 PM,10,10,10,1,5,5,0,1,0,0,0,6,8,8,1,,,,0,0,1,1,0,0,0,1,0,0,0
6947746678,175020213,10/09/2018 10:25:36 PM,8,10,10,10,7,4,0,0,0,0,0,11,10,1,1,,,,0,0,1,1,0,0,1,0,0,0,0
6947554009,175027024,10/09/2018 11:58:29 AM,3,4,5,7,5,6,1,0,0,0,0,10,1,1,9,2,11,9,1,0,0,0,1,0,0,1,0,1,0
6947553640,175027024,10/09/2018 11:57:43 AM,10,10,9,6,7,8,0,0,0,0,0,2,6,6,4,4,6,9,1,0,0,0,0,0,1,0,0,1,0
6947553617,175027024,10/09/2018 11:57:39 AM,7,5,8,10,5,9,1,1,1,1,1,6,1,1,9,3,10,9,1,0,0,0,0,1,0,0,0,1,0
6947553592,175027024,10/09/2018 11:57:35 AM,8,6,6,6,4,6,0,1,1,0,0,10,1,1,10,2,5,2,1,0,0,0,1,0,1,0,0,1,0
6947552881,175027024,10/09/2018 11:56:15 AM,6,6,8,4,3,4,0,1,0,0,0,6,4,4,4,3,9,5,1,0,0,1,0,0,1,0,0,1,0
6947552872,175027024,10/09/2018 11:56:15 AM,4,6,3,6,7,2,0,0,0,1,0,6,3,6,4,2,5,7,1,0,0,1,0,0,1,0,0,1,0
6947552834,175027024,10/09/2018 11:56:10 AM,5,7,7,8,7,4,1,1,1,1,1,6,1,1,7,3,10,9,1,0,0,1,0,1,0,0,0,1,0
6947552802,175027024,10/09/2018 11:56:06 AM,10,10,10,10,10,10,1,0,0,0,0,2,10,10,10,2,10,1,1,0,0,1,0,1,0,0,0,1,0
6947552739,175027024,10/09/2018 11:56:37 AM,8,7,9,6,3,7,0,0,0,0,1,10,1,1,8,2,2,6,1,0,0,0,0,0,1,0,0,1,0
