"RespondentID","CollectorID","EndDate","FavorEntryLevel","FavorConventionalSoon","FavorOnlineEducation","FavorAI","FavorCrypto","FavorAmerican","HeardOfUdacity","HeardOfUdemy","HeardOfCoursera","HeardOfPluralsight","HeardOfLynda","Industry","FavorReligion","FavorChristianity","FavorRegulation","SurveyMonkeyAge","SurveyMonkeyIncome","SurveyMonkeyRegion","IsSurveyMonkeyMale","IsSurveyMonkeyFemale","IsSurveyMonkeyUnreportedGender","IsManager","IsUnemployed","IsStem","IsNotStem","IsUnsureStem","IsUnreportedStem","IsMale","IsFemale","ReportedIncome","ReportedAge","IsReportedMale","IsReportedFemale","IsReportedNonbinary","IsUnreportedGender"
"10551838014","226270653","02/24/2019 05:24:24 PM","7","3","8","1","","","1","0","0","0","0","4","","","4","","","","0","0","1","0","0","","","","","1","0","6","4","1","0","0","0"
"10551841509","226270653","02/24/2019 05:27:56 PM","9","10","10","8","","","1","0","1","0","0","6","","","3","","","","0","0","1","0","0","","","","","1","0","10","3","1","0","0","0"
"10551845858","226270653","02/24/2019 05:32:21 PM","8","7","10","9","","","1","1","0","0","0","10","","","6","","","","0","0","1","1","0","","","","","0","1","10","2","0","1","0","0"
"10551860879","226272122","02/24/2019 05:46:41 PM","1","7","7","7","","","1","1","0","0","0","6","","","2","3","3","2","0","1","0","1","0","","","","","0","1","3","3","0","1","0","0"
"10551861009","226272122","02/24/2019 05:46:49 PM","8","5","5","8","","","1","0","1","0","0","2","","","3","3","10","2","1","0","0","1","0","","","","","1","0","5","3","1","0","0","0"
"10551859648","226270653","02/24/2019 05:45:27 PM","1","6","6","2","","","1","0","0","0","0","2","","","6","","","","0","0","1","0","0","","","","","0","1","6","3","0","1","0","0"
"10551861473","226272122","02/24/2019 05:47:19 PM","5","3","5","8","","","1","0","0","0","0","10","","","5","2","1","2","0","1","0","1","0","","","","","0","1","1","2","0","1","0","0"
"10551861478","226272122","02/24/2019 05:47:30 PM","6","8","6","10","","","1","1","1","1","1","2","","","5","2","2","9","0","1","0","0","0","","","","","0","1","2","2","0","1","0","0"
"10551861052","226272122","02/24/2019 05:46:51 PM","8","8","9","8","","","0","0","0","1","0","7","","","8","2","4","2","1","0","0","1","0","","","","","1","0","4","2","1","0","0","0"
"10551861759","226272122","02/24/2019 05:47:39 PM","3","4","8","5","","","1","1","0","0","0","5","","","5","4","11","5","0","1","0","0","0","","","","","0","1","3","4","0","1","0","0"
"10551861821","226272122","02/24/2019 05:47:43 PM","4","4","3","5","","","0","0","1","0","0","10","","","7","5","3","1","1","0","0","0","1","","","","","1","0","3","5","1","0","0","0"
"10551861827","226272122","02/24/2019 05:47:43 PM","10","10","10","10","","","0","0","0","1","1","11","","","7","3","5","9","1","0","0","0","0","","","","","1","0","2","3","1","0","0","0"
"10551855812","226270653","02/24/2019 05:41:31 PM","8","3","5","4","","","1","0","1","1","1","2","","","6","","","","0","0","1","0","0","","","","","0","1","6","2","0","1","0","0"
"10551862078","226272122","02/24/2019 05:48:00 PM","9","6","8","6","","","0","0","0","1","0","3","","","5","4","4","7","0","1","0","0","0","","","","","0","1","4","4","0","1","0","0"
"10551861830","226272122","02/24/2019 05:47:44 PM","6","5","5","3","","","1","0","0","0","0","10","","","8","2","11","9","1","0","0","0","0","","","","","1","0","4","2","1","0","0","0"
"10551862172","226272122","02/24/2019 05:48:05 PM","8","5","5","4","","","1","1","0","0","0","8","","","7","2","5","3","1","0","0","1","0","","","","","1","0","4","2","1","0","0","0"
"10551862203","226272122","02/24/2019 05:48:07 PM","5","5","7","4","","","0","0","0","0","0","11","","","4","5","11","6","0","1","0","0","0","","","","","0","1","11","5","0","1","0","0"
"10551862140","226272122","02/24/2019 05:48:03 PM","9","10","10","6","","","0","0","0","0","1","8","","","4","3","3","8","1","0","0","1","0","","","","","1","0","4","3","1","0","0","0"
"10551862297","226272122","02/24/2019 05:48:13 PM","5","4","5","3","","","0","0","0","0","0","11","","","4","4","5","4","1","0","0","0","0","","","","","1","0","5","4","1","0","0","0"
"10551862464","226272122","02/24/2019 05:48:24 PM","10","7","4","5","","","0","0","1","0","0","11","","","7","2","2","4","0","1","0","0","0","","","","","0","1","3","2","0","1","0","0"
"10551862618","226272122","02/24/2019 05:48:35 PM","10","10","10","10","","","0","0","1","0","0","4","","","10","5","2","6","0","1","0","0","0","","","","","0","1","2","5","0","1","0","0"
"10551862628","226272122","02/24/2019 05:48:36 PM","6","4","1","4","","","0","0","0","0","1","11","","","9","4","11","6","0","1","0","0","0","","","","","0","1","1","4","0","1","0","0"
"10551862609","226272122","02/24/2019 05:48:34 PM","1","1","1","1","","","0","0","1","0","0","8","","","4","2","2","7","0","1","0","0","0","","","","","0","1","11","1","0","0","1","0"
"10551863027","226272122","02/24/2019 05:49:01 PM","10","10","10","8","","","1","1","0","0","1","4","","","9","3","4","1","1","0","0","1","0","","","","","1","0","4","3","1","0","0","0"
"10551861627","226272122","02/24/2019 05:47:30 PM","1","1","1","1","","","1","0","0","0","0","1","","","1","3","1","9","1","0","0","0","1","","","","","1","0","1","3","1","0","0","0"
"10551863144","226272122","02/24/2019 05:49:34 PM","10","9","5","5","","","0","0","0","0","0","8","","","9","4","7","1","1","0","0","1","0","","","","","1","0","11","4","1","0","0","0"
"10551863187","226272122","02/24/2019 05:49:12 PM","4","5","7","7","","","0","0","0","0","0","10","","","8","4","3","5","0","1","0","0","1","","","","","0","1","3","4","0","1","0","0"
"10551863010","226272122","02/24/2019 05:49:01 PM","8","8","8","5","","","1","0","0","0","0","4","","","7","4","7","8","0","1","0","0","0","","","","","0","1","7","4","0","1","0","0"
"10551863123","226272122","02/24/2019 05:49:08 PM","8","6","7","5","","","0","1","0","0","0","10","","","6","3","3","4","0","1","0","1","0","","","","","0","1","3","3","0","1","0","0"
"10551863636","226272122","02/24/2019 05:49:41 PM","9","8","8","6","","","0","0","0","0","0","10","","","9","4","11","9","0","1","0","1","0","","","","","0","1","11","4","0","1","0","0"
"10551863762","226272122","02/24/2019 05:49:47 PM","4","5","6","4","","","1","0","0","0","0","5","","","3","3","1","3","0","1","0","0","1","","","","","0","1","4","3","0","1","0","0"
"10551863217","226272122","02/24/2019 05:49:14 PM","8","6","7","5","","","1","0","0","0","0","10","","","7","4","3","9","0","1","0","0","0","","","","","0","1","3","4","0","1","0","0"
"10551867459","226271760","02/24/2019 05:53:44 PM","7","4","2","8","","","0","0","0","1","0","11","","","6","","","","0","0","1","0","0","","","","","1","0","4","2","1","0","0","0"
