Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",It will soon become fairly conventional for high school graduates to obtain alternative credentials instead of going to college.,"When you add up the pros and cons for online education, it's probably a good thing for society overall.","When you add up the pros and cons for artificial intelligence, it's probably a good thing for society overall.","When you add up the pros and cons for cryptocurrency, it's probably a good thing for society overall.","When evaluating an applicant's education, it is important is important to check whether the degree was awarded from a US institution.",Have you heard of any of the following online course providers?,,,,,Do you work in a STEM profession?,Which of these industries most closely matches your profession?,I consider myself religious,I consider myself Christian,Government regulation helps ensure businesses treat individuals more fairly.,Age,Gender,Household Income,Region,Device Type
,,,,,,,,,Response,Response,Response,Response,Response,Response,Response,Udacity,Udemy,Coursera,Pluralsight,Lynda.com,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
6948040112,175020213,10/10/2018 04:39:56 PM,10/10/2018 04:42:44 PM,75.70.243.51,,,,,1,10,10,10,1,5,5,,2,,,,3,6,8,8,1,,,,,
6947746678,175020213,10/09/2018 10:23:53 PM,10/09/2018 10:25:36 PM,212.123.31.194,,,,,1,8,10,10,10,7,4,,,,,,2,11,10,1,1,,,,,
6947554009,175027024,10/09/2018 11:55:22 AM,10/09/2018 11:58:29 AM,,,,,fdf6157e186cfb373f3e9df6d1,3,3,4,5,7,5,6,1,,,,,3,10,1,1,9,2,1,11,9,2
6947553640,175027024,10/09/2018 11:55:42 AM,10/09/2018 11:57:43 AM,,,,,3e7b82e322a6fc79136d3f567b,2,10,10,9,6,7,8,,,,,,2,2,6,6,4,4,1,6,9,4
6947553617,175027024,10/09/2018 11:54:00 AM,10/09/2018 11:57:39 AM,,,,,529bda82e8a43866b1422f74c0,2,7,5,8,10,5,9,1,2,3,4,5,1,6,1,1,9,3,1,10,9,2
6947553592,175027024,10/09/2018 11:53:34 AM,10/09/2018 11:57:35 AM,,,,,03203551443b479b8fc818e8ee,3,8,6,6,6,4,6,,2,3,,,2,10,1,1,10,2,1,5,2,1
6947552881,175027024,10/09/2018 11:55:03 AM,10/09/2018 11:56:15 AM,,,,,b5ca4908c6a6e8de6800554f17,1,6,6,8,4,3,4,,2,,,,2,6,4,4,4,3,1,9,5,2
6947552872,175027024,10/09/2018 11:55:48 AM,10/09/2018 11:56:15 AM,,,,,04cde58cb29b3d0f39f34c032c,1,4,6,3,6,7,2,,,,4,,2,6,3,6,4,2,1,5,7,2
6947552834,175027024,10/09/2018 11:54:57 AM,10/09/2018 11:56:10 AM,,,,,d0ee5d5c03bc1ad5319aa9bdb3,1,5,7,7,8,7,4,1,2,3,4,5,1,6,1,1,7,3,1,10,9,2
