Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",It will soon become fairly conventional for high school graduates to obtain alternative credentials instead of going to college.,"When you add up the pros and cons for online education, it's probably a good thing for society overall.","When you add up the pros and cons for artificial intelligence, it's probably a good thing for society overall.",Have you heard of any of the following online course providers?,,,,,Which of these industries most closely matches your profession?,Government regulation helps ensure businesses treat individuals more fairly.,Gender?,Household Income?,Age?,Age,Gender,Household Income,Region,Device Type
,,,,,,,,,Response,Response,Response,Response,Response,Udacity,Udemy,Coursera,Pluralsight,Lynda.com,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
10552034875,226272122,02/24/2019 08:45:48 PM,02/24/2019 08:46:16 PM,,,,,5ee19cf75008242bea3372c8d8,1,1,3,4,6,,2,,,,5,6,1,7,3,2,2,4,6,1
10552032748,226272122,02/24/2019 08:42:27 PM,02/24/2019 08:44:05 PM,,,,,08efecaa3269f5224b64d6f444,3,6,4,5,4,,2,,,,10,7,1,11,2,2,2,11,9,2
10552026892,226272122,02/24/2019 08:36:46 PM,02/24/2019 08:38:16 PM,,,,,a029fa84cfe0902543c2f486fe,2,8,10,10,10,,2,3,4,5,6,7,2,2,2,2,1,3,7,2
10552026630,226272122,02/24/2019 08:35:16 PM,02/24/2019 08:38:02 PM,,,,,a9c81e46c0b35d2c8faab10202,2,7,4,10,6,1,,3,,,10,5,1,1,2,2,2,6,9,1
10552025520,226272122,02/24/2019 08:31:02 PM,02/24/2019 08:36:56 PM,,,,,1deab05c3e91f76f23073b7d8d,1,10,1,2,5,,,,,5,10,1,1,1,3,3,2,2,3,1
10552025347,226272122,02/24/2019 08:35:38 PM,02/24/2019 08:36:45 PM,,,,,30eafd70c257ec950d04178d47,1,8,8,9,7,1,,,4,5,6,9,2,9,2,2,1,10,6,2
10552024845,226272122,02/24/2019 08:33:52 PM,02/24/2019 08:36:14 PM,,,,,a0d923038bf2f92671ac5ea8bb,1,5,6,7,7,1,,,,,11,8,1,7,3,3,2,4,8,1
10552016722,226272122,02/24/2019 08:26:40 PM,02/24/2019 08:28:18 PM,,,,,c2e2de26601e7dda239f9debad,2,6,6,4,5,,,,,5,10,6,1,4,4,4,2,3,7,1
10552010454,226272122,02/24/2019 08:20:36 PM,02/24/2019 08:22:03 PM,,,,,ed33fdac823f982098caa2ede1,2,5,7,4,7,,,3,,,8,6,2,5,1,2,1,4,7,1
