Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",It will soon become fairly conventional for high school graduates to obtain alternative credentials instead of going to college.,"When you add up the pros and cons for online education, it's probably a good thing for society overall.","When you add up the pros and cons for artificial intelligence, it's probably a good thing for society overall.",Have you heard of any of the following online course providers?,,,,,Which of these industries most closely matches your profession?,Government regulation helps ensure businesses treat individuals more fairly.,Gender?,Household Income?,Age?,[Optional] Github Username,Age,Gender,Household Income,Region,Device Type
,,,,,,,,,Response,Response,Response,Response,Response,Udacity,Udemy,Coursera,Pluralsight,Lynda.com,Response,Response,Response,Response,Response,Open-Ended Response,Response,Response,Response,Response,Response
10566273827,226271827,03/02/2019 04:44:49 PM,03/02/2019 04:46:17 PM,174.72.8.222,,,,,1,8,4,10,5,1,2,3,4,5,2,6,1,8,3,,,,,,
10561908032,226270653,02/28/2019 01:27:41 PM,02/28/2019 01:29:05 PM,50.195.74.145,,,,,1,7,3,7,9,1,2,3,,5,4,2,2,10,3,,,,,,
10560220683,226270653,02/27/2019 09:42:12 PM,02/27/2019 09:44:22 PM,68.33.100.158,,,,,2,5,2,8,5,1,2,3,,,2,5,2,11,2,,,,,,
10559914087,226270653,02/27/2019 06:20:38 PM,02/27/2019 06:21:42 PM,68.98.182.234,,,,,1,7,7,8,10,1,2,3,,,4,2,2,4,3,,,,,,
10557533216,226271827,02/26/2019 09:19:04 PM,02/26/2019 09:22:05 PM,73.37.149.91,,,,,2,8,5,7,9,1,,3,,5,10,10,2,5,2,,,,,,
10557422036,226271827,02/26/2019 08:11:23 PM,02/26/2019 08:13:24 PM,108.31.146.176,,,,,1,5,1,5,10,1,2,3,,5,2,8,1,10,3,,,,,,
10556471061,226270653,02/26/2019 01:11:15 PM,02/26/2019 01:12:37 PM,72.210.26.225,,,,,2,9,10,10,10,1,2,3,,5,6,4,2,4,3,,,,,,
10556299681,226271827,02/26/2019 12:10:05 PM,02/26/2019 12:11:38 PM,108.18.40.163,,,,,1,6,6,9,6,1,2,3,,5,6,2,1,8,5,,,,,,
10554412696,226271827,02/25/2019 06:18:48 PM,02/25/2019 06:20:31 PM,73.200.35.8,,,,,2,3,10,10,10,1,2,3,4,5,6,5,2,11,2,,,,,,
10554131926,226270653,02/25/2019 04:03:08 PM,02/25/2019 04:12:59 PM,47.221.137.150,,,,,3,10,4,5,5,,,,,,5,5,1,5,5,,,,,,
10553709229,226271827,02/25/2019 01:27:17 PM,02/25/2019 01:28:49 PM,165.225.48.110,,,,,2,4,7,5,1,1,2,3,,5,6,10,1,6,2,,,,,,
10553293320,226271827,02/25/2019 10:59:45 AM,02/25/2019 11:01:57 AM,69.137.39.151,,,,,1,8,7,9,7,1,2,,,5,6,6,2,11,3,,,,,,
10553068161,226271827,02/25/2019 09:41:03 AM,02/25/2019 09:42:03 AM,73.132.92.14,,,,,2,7,9,9,10,1,2,3,,,6,5,2,5,2,,,,,,
10552888404,226270653,02/25/2019 08:27:30 AM,02/25/2019 08:30:11 AM,158.59.146.28,,,,,2,8,3,6,8,,,,,,10,7,1,8,2,,,,,,
10552788027,226270653,02/25/2019 07:36:46 AM,02/25/2019 07:38:59 AM,66.68.165.234,,,,,1,8,10,6,3,,,,,,10,2,2,6,4,,,,,,
10552289421,226272122,02/25/2019 01:15:39 AM,02/25/2019 01:16:22 AM,,,,,9a7e507e7edfdb4778e4fc5ffc,1,10,10,10,10,1,2,3,4,5,12,10,2,3,3,,3,1,3,2,1
10552285110,226272122,02/25/2019 01:10:55 AM,02/25/2019 01:11:58 AM,,,,,a1cb14ef51f54d87dd2be4da25,1,7,6,6,3,1,,,,,11,5,2,6,4,,4,1,6,9,2
10552285006,226272122,02/25/2019 01:10:17 AM,02/25/2019 01:11:51 AM,,,,,18d16b699bdce75d54c73b7295,2,10,10,10,6,,,,,,10,7,2,4,5,,5,1,4,2,1
10552278866,226272122,02/25/2019 01:04:13 AM,02/25/2019 01:05:59 AM,,,,,2c8579333a06de7310fb98b340,2,6,6,8,6,1,,,,,5,9,2,9,3,,4,1,4,9,2
10552278012,226272122,02/25/2019 01:04:02 AM,02/25/2019 01:05:10 AM,,,,,c895255f8363b5f17f797cc1c1,1,6,8,5,3,,,,,5,1,9,2,5,4,,4,1,4,9,2
10552277912,226272122,02/25/2019 01:03:07 AM,02/25/2019 01:05:04 AM,,,,,6e23aa4d8f5a70a9a319727b2f,1,7,10,10,8,,,,,5,2,7,2,4,4,,4,1,4,8,4
10552277571,226272122,02/25/2019 01:02:55 AM,02/25/2019 01:04:44 AM,,,,,ddf53f49cc4716b0d537982dbd,1,9,10,10,10,1,2,,,,5,10,2,3,5,,5,1,3,9,1
10552276940,226272122,02/25/2019 01:03:25 AM,02/25/2019 01:04:09 AM,,,,,71b559115ea8346a2386817e50,2,4,3,4,5,,,3,,,6,6,2,6,2,,4,1,3,3,2
10552276049,226272122,02/25/2019 01:01:18 AM,02/25/2019 01:03:14 AM,,,,,545c2b2a4426ee414543be11bd,3,4,5,1,3,,,,,5,6,6,2,5,4,,4,1,5,9,2
10552275417,226272122,02/25/2019 01:00:34 AM,02/25/2019 01:02:30 AM,,,,,e0850064cedc528280330656b2,2,10,7,6,6,,,,,5,7,7,2,4,4,,4,1,4,8,1
10552263134,226272122,02/25/2019 12:45:53 AM,02/25/2019 12:47:45 AM,,,,,5439b1013b577ad30823aabe54,2,10,5,10,5,,,,,,8,10,2,2,4,,4,1,2,3,2
10552248698,226272122,02/25/2019 12:26:14 AM,02/25/2019 12:31:24 AM,,,,,e778d9e8bcaa7e9ecac8e8c4ce,1,6,4,7,4,,,,,,11,5,2,6,3,,3,1,6,4,2
10552232944,226272122,02/25/2019 12:11:08 AM,02/25/2019 12:13:09 AM,,,,,e201ff3fef6da850afa4a2584a,1,5,8,7,7,,2,,,,10,7,2,4,3,,3,1,4,5,1
10552220799,226272122,02/24/2019 11:58:47 PM,02/24/2019 11:59:40 PM,,,,,6d7a8bd8862173e034cadefa5e,1,10,7,10,8,,2,,4,,3,9,2,7,3,,2,1,5,4,1
10552218615,226272122,02/24/2019 11:55:09 PM,02/24/2019 11:57:15 PM,,,,,16e04dfdb49b673aa5dd8ad09f,2,10,10,10,10,1,,,,,4,8,1,2,2,,2,2,1,3,1
10552186991,226272122,02/24/2019 11:23:16 PM,02/24/2019 11:23:39 PM,,,,,024d7f0112cde1ef9f2d48e848,1,5,3,10,9,,,,4,,8,6,2,8,4,,4,1,5,3,2
10552175425,226271827,02/24/2019 11:10:25 PM,02/24/2019 11:11:47 PM,174.204.24.168,,,,,1,8,9,7,6,1,2,3,,5,10,7,2,6,2,,,,,,
10552175144,226272122,02/24/2019 11:09:34 PM,02/24/2019 11:11:31 PM,,,,,484a01e5aa0eca246ca610e905,2,1,1,1,4,,2,3,,5,5,6,2,3,4,,4,1,3,5,2
10552174655,226272122,02/24/2019 11:07:29 PM,02/24/2019 11:10:59 PM,,,,,2dda745dcbe705f386be58a91d,3,7,4,5,6,,,,,5,6,4,2,5,4,,4,1,5,9,2
10552172767,226272122,02/24/2019 11:07:32 PM,02/24/2019 11:08:56 PM,,,,,9f00d98e4bea2c29b6b283fc99,1,7,10,8,6,,,3,,,4,10,2,8,4,,4,1,6,9,4
10552172744,226272122,02/24/2019 11:07:19 PM,02/24/2019 11:08:55 PM,,,,,8598675793fa43c2a2383d097a,3,5,5,4,8,,,,,,11,5,2,3,5,,5,1,3,7,2
10552172518,226272122,02/24/2019 11:07:02 PM,02/24/2019 11:08:41 PM,,,,,b78517f638099325187d8b087e,1,1,3,5,7,,,,,,9,6,2,11,4,,4,1,8,6,6
10552172421,226272122,02/24/2019 11:07:04 PM,02/24/2019 11:08:36 PM,,,,,d1a12151e95257c069a0b05f8a,1,6,10,10,10,,2,3,4,5,10,10,1,3,4,,4,1,3,8,4
10552171689,226272122,02/24/2019 11:07:04 PM,02/24/2019 11:07:47 PM,,,,,d5cdc5ca20fa5e9c25941cc951,1,3,8,6,5,,,3,,5,6,6,2,7,4,,4,1,6,9,1
10552163063,226272122,02/24/2019 10:55:38 PM,02/24/2019 10:58:24 PM,,,,,dd05edd91773a227e1ea61f98c,1,6,5,6,5,,2,,,,6,6,2,7,3,,3,1,8,7,1
10552162754,226272122,02/24/2019 10:55:21 PM,02/24/2019 10:58:02 PM,,,,,8229454902a5430c2ed8800e95,2,2,4,6,7,,,,,,9,8,2,3,3,,3,1,2,6,2
10552162734,226272122,02/24/2019 10:55:40 PM,02/24/2019 10:58:01 PM,,,,,b73d9d2f35a8e481748a9b9ae6,1,1,1,1,10,1,,,,,11,1,2,7,1,,2,1,4,5,1
10552162558,226272122,02/24/2019 10:55:17 PM,02/24/2019 10:57:50 PM,,,,,e2881eda4312fa748a70a96968,1,3,1,3,5,,,,,,11,6,2,5,3,,3,1,5,5,1
10552162473,226272122,02/24/2019 10:54:56 PM,02/24/2019 10:57:46 PM,,,,,6b358681b8afbd5071fa92a9ee,1,6,6,8,5,,,,,5,5,7,2,4,3,,3,1,4,3,1
10552162319,226272122,02/24/2019 10:55:26 PM,02/24/2019 10:57:35 PM,,,,,4dae4c9496f641d005ef7e2bc3,3,3,6,9,5,,,,,,5,5,1,2,2,,2,2,11,9,2
10552162263,226272122,02/24/2019 10:56:10 PM,02/24/2019 10:57:31 PM,,,,,f639e9af45124ffdca7083ad91,1,5,5,5,4,1,,,,,8,6,2,5,3,,3,1,4,3,1
10552162224,226272122,02/24/2019 10:55:54 PM,02/24/2019 10:57:29 PM,,,,,cac10607c8cd3dd8f44cf5f7e9,2,10,1,4,1,,,,,,7,1,3,2,2,,3,1,2,5,1
10552162153,226272122,02/24/2019 10:55:43 PM,02/24/2019 10:57:25 PM,,,,,b0594f3cf84f8940b9805c6f20,2,8,7,10,7,,,3,,,10,7,2,4,3,,3,1,5,3,1
10552162102,226272122,02/24/2019 10:55:40 PM,02/24/2019 10:57:40 PM,,,,,3800759e8b1e277f0067dc203c,3,5,8,6,6,,2,,,5,10,8,2,3,2,,2,1,3,5,2
10552162088,226272122,02/24/2019 10:56:19 PM,02/24/2019 10:57:20 PM,,,,,eaa63131b19ffca03c7ff71407,3,7,8,4,9,,,,,,2,5,2,4,2,,2,1,3,5,1
10552162048,226272122,02/24/2019 10:55:27 PM,02/24/2019 10:57:18 PM,,,,,0d2043482f52c2e83bcc698c5d,1,8,5,5,4,1,2,3,,5,6,10,2,9,2,,2,1,10,3,2
10552161997,226272122,02/24/2019 10:56:26 PM,02/24/2019 10:57:15 PM,,,,,9a35a066e9aec9d5234983d8ce,1,10,10,10,10,,,3,4,5,2,10,2,10,2,,3,1,7,5,2
