unemployed,employer,q2,q3,q4,q5,q6,providerCount,provider_udacity,provider_udemy,provider_coursera,provider_pluralsight,provider_lynda,stem,industry,age,male,income,region
0,1,7,4,5,7,0,2,1,,1,,,Yes,"Finance, Investment, or Accounting",,,,
0,0,3,2,0,6,10,3,,1,1,,1,Yes,Information Technology,,,,
0,1,10,6,8,8,5,2,1,1,,,,No,Education,,,,
0,0,9,10,0,10,9,0,,,,,,No,Education,,,,
0,1,10,3,0,0,8,0,,,,,,No,Law,,,,
0,1,2,10,7,4,2,0,,,,,,Unsure,Other,,,,
0,0,7,5,9,2,7,0,,,,,,No,Retail,,,,
0,0,10,7,8,7,8,4,1,1,1,,1,Yes,Information Technology,,,,
0,0,10,8,8,10,6,2,,1,1,,,No,Health,,,,
1,0,2,2,2,3,6,3,1,1,1,,,No,Other,,,,
0,1,8,7,6,6,4,1,,,1,,,Yes,Other,,,,
0,1,7,6,8,9,3,3,1,,1,,1,No,Other,,,,
0,1,10,0,0,10,7,4,1,1,1,,1,Yes,Information Technology,,,,
0,1,10,5,7,10,8,0,,,,,,No,Other,,,,
0,0,3,0,5,7,6,3,1,1,1,,,Unsure,Energy,,,,
0,1,6,5,4,4,6,3,1,1,1,,,Yes,Education,,,,
0,1,10,7,5,7,3,0,,,,,,No,Retail,,,,
0,0,9,10,8,10,6,3,,,1,1,1,Yes,Information Technology,,,,
0,0,6,4,3,0,4,1,,,,,1,Yes,Health,,,,
0,0,0,0,5,7,10,1,,,1,,,Yes,"Finance, Investment, or Accounting",,,,
0,1,6,7,8,8,7,4,1,1,1,,1,Yes,Other,,,,
0,1,0,3,4,9,5,0,,,,,,No,Information Technology,,,,
0,0,3,0,5,10,0,1,,,,,1,No,Other,,,,
0,0,8,5,5,5,6,1,,,1,,,Yes,Agriculture,,,,
0,0,10,8,10,10,7,3,1,1,1,,,No,Education,,,,
0,0,8,3,6,0,0,3,1,,1,,1,No,Education,,,,
0,1,10,10,5,10,4,5,1,1,1,1,1,Yes,Other,,,,
0,1,8,6,8,8,8,1,1,,,,,Unsure,Other,,,,
0,1,10,7,10,10,5,2,1,,1,,,Yes,Information Technology,,,,
0,1,7,7,3,8,7,1,,,,,1,Yes,Information Technology,,,,
0,1,7,7,6,10,4,5,1,1,1,1,1,Unsure,Education,,,,
0,0,9,3,5,10,4,1,,,1,,,No,"Finance, Investment, or Accounting",,,,
0,1,6,3,0,8,7,3,1,1,1,,,No,Other,,,,
0,0,8,5,0,7,7,0,,,,,,Yes,Health,> 60,1,"$25,000-$49,999",South Atlantic
0,0,10,7,3,5,5,0,,,,,,No,Information Technology,> 60,1,"$200,000+",South Atlantic
