Document,Author,Topic,Author_Credentials
1,b,austrian_neoclassical,PhD
2,j,austrian_neoclassical,PhD
3,j,llm_best_practices,PhD
4,j,macro_health,PhD
5,p,macro_health,PhD
6,t,remote_work,masters
7,p,remote_work,PhD
8,gpt,remote_work,gpt
9,edubirdie,remote_work,unspecified_webservice
10,edubirdie,macro_health,unspecified_webservice
11,b,remote_work,PhD
12,b,macro_health,PhD
13,b,llm_best_practices,PhD
14,customwritings,macro_health,phd_student_webservice
15,customwritings,llm_best_practices,phd_student_webservice
16,gpt,macro_health,gpt
17,gpt,llm_best_practices,gpt
18,gpt,austrian_neoclassical,gpt
