participant_id,participant_assessed_writer_edu_level,participant_assessed_gpt_likelihood,participant_education,participant_with_econ_degree,participant_attention,doc_id,quality_rating,topic,author,author_credentials,is_written_by_gpt,participant_expects_gpt
2,U,2,SomeCollege,No,10,1,3,austrian_neoclassical,b,PhD,False,False
2,M,4,SomeCollege,No,10,2,9,austrian_neoclassical,j,PhD,False,False
2,U,3,SomeCollege,No,10,3,5,llm_best_practices,j,PhD,False,False
2,M,5,SomeCollege,No,10,4,9,macro_health,j,PhD,False,False
2,M,7,SomeCollege,No,10,5,8,macro_health,p,PhD,False,True
2,U,6,SomeCollege,No,10,6,8,remote_work,t,masters,False,True
2,U,6,SomeCollege,No,10,7,9,remote_work,p,PhD,False,True
2,U,2,SomeCollege,No,10,8,3,remote_work,gpt,gpt,True,False
2,U,1,SomeCollege,No,10,9,3,remote_work,edubirdie,unspecified_webservice,False,False
2,U,1,SomeCollege,No,10,10,2,macro_health,edubirdie,unspecified_webservice,False,False
2,U,2,SomeCollege,No,10,11,3,remote_work,b,PhD,False,False
2,U,1,SomeCollege,No,10,12,6,macro_health,b,PhD,False,False
2,U,4,SomeCollege,No,10,13,4,llm_best_practices,b,PhD,False,False
2,M,1,SomeCollege,No,10,14,3,macro_health,customwritings,phd_student_webservice,False,False
2,U,4,SomeCollege,No,10,15,9,llm_best_practices,customwritings,phd_student_webservice,False,False
2,M,1,SomeCollege,No,10,16,9,macro_health,gpt,gpt,True,False
2,M,1,SomeCollege,No,10,17,1,llm_best_practices,gpt,gpt,True,False
2,U,1,SomeCollege,No,10,18,2,austrian_neoclassical,gpt,gpt,True,False
3,M,5,AnUndergraduateDegree,No,10,1,5,austrian_neoclassical,b,PhD,False,False
3,M,5,AnUndergraduateDegree,No,10,2,7,austrian_neoclassical,j,PhD,False,False
3,U,4,AnUndergraduateDegree,No,10,3,6,llm_best_practices,j,PhD,False,False
3,U,5,AnUndergraduateDegree,No,10,4,6,macro_health,j,PhD,False,False
3,U,4,AnUndergraduateDegree,No,10,5,5,macro_health,p,PhD,False,False
3,M,5,AnUndergraduateDegree,No,10,6,6,remote_work,t,masters,False,False
3,U,4,AnUndergraduateDegree,No,10,7,6,remote_work,p,PhD,False,False
3,U,6,AnUndergraduateDegree,No,10,8,6,remote_work,gpt,gpt,True,True
3,U,4,AnUndergraduateDegree,No,10,9,5,remote_work,edubirdie,unspecified_webservice,False,False
3,U,4,AnUndergraduateDegree,No,10,10,4,macro_health,edubirdie,unspecified_webservice,False,False
3,U,4,AnUndergraduateDegree,No,10,11,6,remote_work,b,PhD,False,False
3,U,4,AnUndergraduateDegree,No,10,12,5,macro_health,b,PhD,False,False
3,U,4,AnUndergraduateDegree,No,10,13,5,llm_best_practices,b,PhD,False,False
3,U,4,AnUndergraduateDegree,No,10,14,6,macro_health,customwritings,phd_student_webservice,False,False
3,U,3,AnUndergraduateDegree,No,10,15,7,llm_best_practices,customwritings,phd_student_webservice,False,False
3,U,4,AnUndergraduateDegree,No,10,16,4,macro_health,gpt,gpt,True,False
3,U,4,AnUndergraduateDegree,No,10,17,5,llm_best_practices,gpt,gpt,True,False
3,U,4,AnUndergraduateDegree,No,10,18,5,austrian_neoclassical,gpt,gpt,True,False
4,U,1,AGraduateDegree,No,8,1,4,austrian_neoclassical,b,PhD,False,False
4,P,4,AGraduateDegree,No,8,2,6,austrian_neoclassical,j,PhD,False,False
4,U,4,AGraduateDegree,No,8,3,5,llm_best_practices,j,PhD,False,False
4,P,5,AGraduateDegree,No,8,4,7,macro_health,j,PhD,False,False
4,M,4,AGraduateDegree,No,8,5,7,macro_health,p,PhD,False,False
4,P,3,AGraduateDegree,No,8,6,6,remote_work,t,masters,False,False
4,U,6,AGraduateDegree,No,8,7,4,remote_work,p,PhD,False,True
4,M,5,AGraduateDegree,No,8,8,7,remote_work,gpt,gpt,True,False
4,M,3,AGraduateDegree,No,8,9,7,remote_work,edubirdie,unspecified_webservice,False,False
4,U,3,AGraduateDegree,No,8,10,5,macro_health,edubirdie,unspecified_webservice,False,False
4,U,1,AGraduateDegree,No,8,11,5,remote_work,b,PhD,False,False
4,U,2,AGraduateDegree,No,8,12,5,macro_health,b,PhD,False,False
4,U,3,AGraduateDegree,No,8,13,5,llm_best_practices,b,PhD,False,False
4,U,6,AGraduateDegree,No,8,14,5,macro_health,customwritings,phd_student_webservice,False,True
4,U,4,AGraduateDegree,No,8,15,5,llm_best_practices,customwritings,phd_student_webservice,False,False
4,M,4,AGraduateDegree,No,8,16,7,macro_health,gpt,gpt,True,False
4,M,4,AGraduateDegree,No,8,17,5,llm_best_practices,gpt,gpt,True,False
4,U,6,AGraduateDegree,No,8,18,8,austrian_neoclassical,gpt,gpt,True,True
5,U,8,APhD,No,9,1,3,austrian_neoclassical,b,PhD,False,True
5,M,5,APhD,No,9,2,7,austrian_neoclassical,j,PhD,False,False
5,U,5,APhD,No,9,3,6,llm_best_practices,j,PhD,False,False
5,M,2,APhD,No,9,4,6,macro_health,j,PhD,False,False
5,P,3,APhD,No,9,5,7,macro_health,p,PhD,False,False
5,P,4,APhD,No,9,6,7,remote_work,t,masters,False,False
5,U,8,APhD,No,9,7,4,remote_work,p,PhD,False,True
5,M,5,APhD,No,9,8,6,remote_work,gpt,gpt,True,False
5,M,8,APhD,No,9,9,6,remote_work,edubirdie,unspecified_webservice,False,True
5,U,7,APhD,No,9,10,3,macro_health,edubirdie,unspecified_webservice,False,True
5,M,6,APhD,No,9,11,4,remote_work,b,PhD,False,True
5,M,3,APhD,No,9,12,6,macro_health,b,PhD,False,False
5,U,7,APhD,No,9,13,7,llm_best_practices,b,PhD,False,True
5,M,3,APhD,No,9,14,5,macro_health,customwritings,phd_student_webservice,False,False
5,U,6,APhD,No,9,15,3,llm_best_practices,customwritings,phd_student_webservice,False,True
5,U,5,APhD,No,9,16,5,macro_health,gpt,gpt,True,False
5,U,8,APhD,No,9,17,4,llm_best_practices,gpt,gpt,True,True
5,M,3,APhD,No,9,18,5,austrian_neoclassical,gpt,gpt,True,False
6,P,9,SomeCollege,No,10,1,9,austrian_neoclassical,b,PhD,False,True
6,M,8,SomeCollege,No,10,2,8,austrian_neoclassical,j,PhD,False,True
6,U,5,SomeCollege,No,10,3,6,llm_best_practices,j,PhD,False,False
6,M,7,SomeCollege,No,10,4,8,macro_health,j,PhD,False,True
6,U,5,SomeCollege,No,10,5,6,macro_health,p,PhD,False,False
6,U,8,SomeCollege,No,10,6,7,remote_work,t,masters,False,True
6,M,6,SomeCollege,No,10,7,8,remote_work,p,PhD,False,True
6,M,9,SomeCollege,No,10,8,8,remote_work,gpt,gpt,True,True
6,U,7,SomeCollege,No,10,9,7,remote_work,edubirdie,unspecified_webservice,False,True
