participant_id,doc10_rating,doc11_rating,doc12_rating,doc13_rating,doc14_rating,doc15_rating,doc16_rating,doc17_rating,doc18_rating,doc1_rating,doc2_rating,doc3_rating,doc4_rating,doc5_rating,doc6_rating,doc7_rating,doc8_rating,doc9_rating,education_lvl,reported_attention,submission_date,with_econ_degree
2,"U,2,1","U,3,2","U,6,1","U,4,4","M,3,1","U,9,4","M,9,1","M,1,1","U,2,1","U,3,2","M,9,4","U,5,3","M,9,5","M,8,7","U,8,6","U,9,6","U,3,2","U,3,1",SomeCollege,10,07/26/2023,No
3,"U,4,4","U,6,4","U,5,4","U,5,4","U,6,4","U,7,3","U,4,4","U,5,4","U,5,4","M,5,5","M,7,5","U,6,4","U,6,5","U,5,4","M,6,5","U,6,4","U,6,6","U,5,4",AnUndergraduateDegree,10,07/26/2023,No
4,"U,5,3","U,5,1","U,5,2","U,5,3","U,5,6","U,5,4","M,7,4","M,5,4","U,8,6","U,4,1","P,6,4","U,5,4","P,7,5","M,7,4","P,6,3","U,4,6","M,7,5","M,7,3",AGraduateDegree,8,07/26/2023,No
5,"U,3,7","M,4,6","M,6,3","U,7,7","M,5,3","U,3,6","U,5,5","U,4,8","M,5,3","U,3,8","M,7,5","U,6,5","M,6,2","P,7,3","P,7,4","U,4,8","M,6,5","M,6,8",APhD,9,07/26/2023,No
6,"U,9,9","U,8,9","U,8,6","P,10,8","U,7,6","M,7,7","M,8,8","P,10,10","M,9,10","P,9,9","M,8,8","U,6,5","M,8,7","U,6,5","U,7,8","M,8,6","M,8,9","U,7,7",SomeCollege,10,07/26/2023,No
7,"U,3,1","U,7,3","U,5,4","U,5,3","U,5,5","U,6,3","U,7,2","U,7,2","U,5,3","M,8,5","M,8,2","U,6,8","U,4,2","M,8,2","U,6,2","M,8,3","U,6,5","U,6,4",AnUndergraduateDegree,10,07/26/2023,Yes
8,"U,2,1","U,5,2","U,4,2","M,7,4","U,3,1","U,5,1","U,8,5","U,7,9","U,7,7","M,8,6","M,6,4","P,5,5","U,4,2","U,7,5","U,6,2","M,9,5","U,6,3","U,4,1",SomeCollege,10,07/26/2023,No
9,"U,7,9","U,7,9","M,7,5","U,6,10","U,8,8","U,8,4","U,5,9","M,9,2","M,8,8","P,8,5","P,10,1","P,10,1","M,9,3","M,7,7","P,9,1","U,6,9","U,8,4","U,6,10",AnUndergraduateDegree,8,07/26/2023,No
10,"U,4,1","U,4,8","U,6,1","M,6,2","U,8,2","M,8,10","P,10,3","M,10,4","U,5,5","P,10,1","U,6,4","U,5,6","U,3,6","M,8,5","M,7,4","P,9,2","M,7,5","U,2,10",AnUndergraduateDegree,8,07/26/2023,No
11,"U,5,7","U,6,7","U,4,7","M,8,4","M,8,6","M,7,4","M,7,6","U,6,3","P,7,5","M,7,5","P,9,3","U,5,8","P,10,2","M,7,4","M,7,5","U,4,8","U,6,9","U,3,8",HighSchoolorLess,10,07/26/2023,No
12,"M,5,6","U,5,4","U,6,1","M,5,2","U,5,7","M,7,2","M,7,1","U,6,3","U,5,9","M,8,2","U,4,2","M,8,1","M,8,3","P,9,1","P,8,2","M,5,3","U,5,6","U,5,2",AnUndergraduateDegree,10,07/26/2023,No
13,"U,1,2","U,2,9","U,6,9","M,3,7","M,7,5","U,4,3","M,5,6","U,3,10","U,7,9","M,5,8","M,7,4","P,10,4","U,1,9","P,10,4","M,8,3","M,7,9","U,2,9","U,6,6",SomeCollege,10,07/26/2023,No
14,"U,4,5","U,5,5","U,2,3","U,5,10","M,8,2","U,4,7","M,8,3","U,7,3","U,3,8","U,4,7","P,8,2","U,3,7","P,8,2","U,6,7","U,7,3","M,8,3","U,5,5","U,5,9",SomeCollege,9,07/26/2023,No
15,"U,5,4","U,6,3","U,6,8","U,7,8","U,6,8","M,8,6","U,5,6","M,8,4","M,8,4","U,7,7","U,6,6","U,3,10","U,6,8","M,7,6","M,8,4","U,7,8","U,8,6","U,7,7",AnUndergraduateDegree,10,07/26/2023,No
16,"U,6,7","U,7,1","U,8,3","M,9,1","U,8,2","U,7,3","U,7,2","U,6,5","U,7,5","M,9,1","P,9,3","M,9,5","U,7,2","M,9,1","U,7,1","U,7,2","M,8,1","U,7,3",HighSchoolorLess,10,07/26/2023,No
17,"U,7,9","U,6,8","U,9,1","U,7,7","M,8,5","U,7,7","M,7,4","M,8,2","P,9,2","U,7,3","U,7,4","U,6,8","M,8,3","U,7,6","P,7,4","U,7,8","P,9,1","U,8,3",AnUndergraduateDegree,10,07/26/2023,No
18,"U,5,8","U,7,3","U,8,5","M,7,3","U,6,8","M,6,3","M,8,4","U,6,7","U,6,8","U,8,5","P,6,2","P,5,2","U,4,6","M,7,4","M,7,2","U,5,8","U,7,5","U,3,8",AGraduateDegree,9,07/27/2023,No
19,"U,5,2","P,9,3","U,6,6","M,7,3","M,7,3","M,7,7","P,9,2","M,8,5","M,7,2","U,6,3","M,5,5","U,5,3","M,7,4","M,5,5","P,7,5","P,9,3","P,8,3","P,8,6",APhD,10,07/27/2023,No
20,"M,10,8","U,8,5","U,9,9","P,10,8","U,2,1","P,10,9","M,8,8","P,9,9","U,5,3","M,10,8","P,7,7","U,3,2","P,8,5","M,8,5","U,2,1","P,10,8","M,7,5","U,3,1",AGraduateDegree,9,07/27/2023,No
21,"U,7,0","M,8,2","U,7,0","M,8,2","M,8,2","M,8,2","M,8,2","P,9,1","P,9,0","M,9,1","P,8,0","M,8,0","P,8,1","M,8,5","M,8,5","M,8,0","M,9,3","M,8,0",AGraduateDegree,9,07/27/2023,No
22,"U,5,4","P,8,3","M,7,4","U,6,4","U,5,5","M,7,4","M,7,4","M,7,4","U,6,5","P,9,2","M,8,3","P,8,3","M,7,4","M,8,3","M,8,3","P,8,3","M,8,4","P,8,3",AGraduateDegree,10,07/27/2023,No
23,"U,6,5","U,7,1","U,7,1","U,7,1","U,6,3","U,9,1","U,7,1","U,8,1","U,5,5","M,8,1","M,6,1","M,7,1","M,9,1","U,4,1","P,9,1","U,8,1","U,8,1","U,7,1",AGraduateDegree,10,07/27/2023,No
24,"U,2,10","U,7,1","M,7,2","M,7,8","U,4,2","M,7,6","P,6,6","U,5,3","U,3,2","P,9,7","U,6,2","P,8,8","M,8,9","M,9,4","U,4,1","U,3,6","U,5,9","M,8,9",AGraduateDegree,9,07/27/2023,No
25,"U,2,6","M,7,9","P,8,6","M,9,10","M,5,8","M,7,7","M,8,10","M,6,10","P,8,9","M,8,10","P,7,9","P,5,10","U,2,7","P,8,5","M,7,8","P,9,6","M,8,10","P,10,7",AGraduateDegree,8,07/27/2023,No
26,"U,6,4","U,6,6","U,4,1","M,5,4","U,5,3","U,5,3","U,4,2","M,7,5","U,5,9","U,6,1","P,7,4","U,5,5","M,6,4","P,6,2","M,7,5","M,6,2","U,6,1","U,5,1",AGraduateDegree,10,07/27/2023,No
27,"U,7,3","M,9,1","M,9,3","U,7,3","U,2,10","U,6,5","U,9,1","M,8,2","U,6,6","U,9,1","P,9,1","U,5,9","P,8,2","U,6,9","M,8,3","U,5,9""","M,9,1","M,9,1",AGraduateDegree,10,07/27/2023,No
28,"U,2,1","M,6,6","U,4,3","U,5,6","U,4,7","M,7,2","M,8,2","M,6,2","M,6,7","P,7,5","P,7,3","P,8,2","M,6,3","P,9,1","P,9,1","P,8,1","M,6,5","M,6,4",APhD,8,07/31/2023,Yes
29,"U,1,3","P,10,7","P,8,5","M,7,7","U,2,5","M,7,7","U,4,3","P,10,7","P,10,7","P,8,7","P,5,3","U,1,3","P,7,3","U,2,3","M,7,0","M,5,7","M,7,5","U,5,5",AGraduateDegree,8,08/11/2023,Yes
30,"U,4,3","U,4,6","M,6,3","M,7,3","M,6,3","U,6,6","P,8,5","U,4,2","U,4,7","U,4,4","P,6,3","M,3,2","U,4,2","M,6,2","M,7,3","U,6,4","P,6,3","P,7,4",APhD,6,08/12/2023,Yes
31,"U,5,1","M,9,10","U,8,1","U,8,10","U,5,5","M,10,3","M,8,5","M,9,3","M,7,1","M,10,1","P,8,1","P,8,1","P,8,1","P,8,1","P,9,1","P,10,1","M,9,1","M,7,9",APhD,4,08/26/2023,Yes
